zone_id,name,n_years,slope,tau,s,var_s,z,p,p_adjusted,significant,status
LK1115235,Digana,12,-0.25817777488187693,-0.45454545454545453,-30.0,212.66666666666666,-1.9886038958388508,0.046744941053711075,0.297547435240223,False,ok
LK1115240,Lahirugama,12,-0.1944381418735996,-0.3333333333333333,-22.0,212.66666666666666,-1.4400235107798574,0.14986074751304912,0.39188937260454626,False,ok
LK1115245,Mambula,12,-0.171556493924966,-0.42424242424242425,-28.0,212.66666666666666,-1.8514587995741025,0.06410357671243583,0.297547435240223,False,ok
LK1115250,Welikanna,12,-0.21360673719147272,-0.45454545454545453,-30.0,212.66666666666666,-1.9886038958388508,0.046744941053711075,0.297547435240223,False,ok
LK1115255,Kahahena,12,-0.10233697642467188,-0.30303030303030304,-20.0,212.66666666666666,-1.302878414515109,0.19261627432960227,0.41746017432524696,False,ok
LK1115260,Neluwattuduwa,12,-0.2246506661960476,-0.5454545454545454,-36.0,212.66666666666666,-2.400039184633096,0.016393316888809073,0.297547435240223,False,ok
LK1115265,Diddeniya North,12,-0.18012745936863894,-0.42424242424242425,-28.0,212.66666666666666,-1.8514587995741025,0.06410357671243583,0.297547435240223,False,ok
LK1115270,Ihala Hanwella South,12,-0.2488980357069812,-0.6363636363636364,-42.0,212.66666666666666,-2.811474473427341,0.004931500366306407,0.297547435240223,False,ok
LK1115275,Pahathgama,12,-0.16017655173825202,-0.3939393939393939,-26.0,212.66666666666666,-1.714313703309354,0.08647112777407262,0.33447512618165587,False,ok
LK1115280,Jayaweeragoda,12,-0.24433755694785136,-0.5757575757575758,-38.0,212.66666666666666,-2.537184280897844,0.011174811327380407,0.297547435240223,False,ok
LK1115285,Koodaluvila,12,-0.23124923453037055,-0.6060606060606061,-40.0,212.66666666666666,-2.6743293771625924,0.007487886815149114,0.297547435240223,False,ok
LK1115290,Thunnana East,12,-0.06983629397156804,-0.21212121212121213,-14.0,212.66666666666666,-0.8914431257208641,0.37269149047151817,0.5075529589061996,False,ok
LK1115295,Diddeniya South,12,-0.16445625594351332,-0.42424242424242425,-28.0,212.66666666666666,-1.8514587995741025,0.06410357671243583,0.297547435240223,False,ok
LK1115300,Elamalawala,12,-0.24693339961783428,-0.5454545454545454,-36.0,212.66666666666666,-2.400039184633096,0.016393316888809073,0.297547435240223,False,ok
LK1115305,Ilukovita,12,-0.24497166321018018,-0.48484848484848486,-32.0,212.66666666666666,-2.125748992103599,0.03352416523500468,0.297547435240223,False,ok
