zone_id,name,n_bins,n_hot,n_cold,hot_share,cold_share,final_run,mk_tau,mk_z,mk_p,mk_slope,trend,category,reason,noise_sd,detectable_slope,underpowered,status
LK1127070,Havelock Town,12,8,0,0.6666666666666666,0.0,5,0.21212121212121213,0.8914431257208641,0.37269149047151817,0.03242063351420557,no trend,sporadic_hot_spot,"on and off hot in 67% of bins, never the opposite",1.029884433666758,0.29444720411787617,False,ok
LK1127075,Kirula,12,9,0,0.75,0.0,5,0.030303030303030304,0.06857254813237416,0.9453298708327,0.018663660369249737,no trend,sporadic_hot_spot,"on and off hot in 75% of bins, never the opposite",0.9792579639297663,0.2799729369271955,False,ok
LK1127080,Kirulapone,12,10,0,0.8333333333333334,0.0,5,0.09090909090909091,0.34286274066187084,0.7317017232242102,0.04028266068213542,no trend,sporadic_hot_spot,"on and off hot in 83% of bins, never the opposite",0.6245166412326694,0.17855127519632655,False,ok
LK1127085,Wellawatta North,12,9,0,0.75,0.0,5,0.15151515151515152,0.6171529331913674,0.5371338571769022,0.04018573706473923,no trend,sporadic_hot_spot,"on and off hot in 75% of bins, never the opposite",0.8101896083024519,0.2316357614229219,False,ok
LK1127090,Wellawatta South,12,9,0,0.75,0.0,7,0.09090909090909091,0.34286274066187084,0.7317017232242102,0.048347593530151105,no trend,sporadic_hot_spot,"on and off hot in 75% of bins, never the opposite",0.6821835830090185,0.19503843552325753,False,ok
LK1127095,Pamankada West,12,10,0,0.8333333333333334,0.0,7,0.24242424242424243,1.0285882219856124,0.303673214899419,0.06203878912827564,no trend,sporadic_hot_spot,"on and off hot in 83% of bins, never the opposite",0.5771463506450838,0.1650079598826793,False,ok
LK1127100,Pamankada East,12,10,0,0.8333333333333334,0.0,8,0.3333333333333333,1.4400235107798574,0.14986074751304912,0.06468393773150061,no trend,sporadic_hot_spot,"on and off hot in 83% of bins, never the opposite",0.6001188193197993,0.17157586104890293,False,ok
LK1130005,Sri Saranankara,12,10,0,0.8333333333333334,0.0,7,0.21212121212121213,0.8914431257208641,0.37269149047151817,0.08392010169849357,no trend,sporadic_hot_spot,"on and off hot in 83% of bins, never the opposite",0.6465567093032424,0.1848526000924049,False,ok
LK1130010,Vilawala,12,12,0,1.0,0.0,12,0.2727272727272727,1.1657333182503609,0.24372228477217428,0.07298341327480665,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.5462868901157742,0.1561851428981658,False,ok
LK1130015,Dutugemunu,12,12,0,1.0,0.0,12,0.30303030303030304,1.302878414515109,0.19261627432960227,0.0595864503232515,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.48887410196556513,0.13977064589363003,False,ok
LK1130020,Kohuwala,12,12,0,1.0,0.0,12,0.42424242424242425,1.8514587995741025,0.06410357671243583,0.057121926720564264,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.3948134643814434,0.11287841328110072,False,ok
LK1130025,Kalubovila,12,12,0,1.0,0.0,12,0.24242424242424243,1.0285882219856124,0.303673214899419,0.0704230654380579,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.49733459730308494,0.1421895281644452,False,ok
LK1130030,Hathbodhiya,12,11,0,0.9166666666666666,0.0,7,0.3333333333333333,1.4400235107798574,0.14986074751304912,0.06833627884719806,no trend,persistent_hot_spot,hot in 92% of bins with no significant trend,0.5751272317419895,0.1644306874272826,False,ok
LK1130035,Galwala,12,11,0,0.9166666666666666,0.0,7,0.21212121212121213,0.8914431257208641,0.37269149047151817,0.06654389610247746,no trend,persistent_hot_spot,hot in 92% of bins with no significant trend,0.7317648751640855,0.20921388315055403,False,ok
LK1130040,Dehiwala West,12,10,0,0.8333333333333334,0.0,7,0.15151515151515152,0.6171529331913674,0.5371338571769022,0.052802538315807446,no trend,sporadic_hot_spot,"on and off hot in 83% of bins, never the opposite",0.7121049908968617,0.20359306030234878,False,ok
LK1130045,Dehiwala East,12,11,0,0.9166666666666666,0.0,7,0.2727272727272727,1.1657333182503609,0.24372228477217428,0.07690873068103712,no trend,persistent_hot_spot,hot in 92% of bins with no significant trend,0.7490264778500452,0.21414902973916541,False,ok
LK1130050,Udyanaya,12,12,0,1.0,0.0,12,0.30303030303030304,1.302878414515109,0.19261627432960227,0.09166016765089671,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.6709937610664067,0.19183923017761675,False,ok
LK1130055,Nedimala,12,11,0,0.9166666666666666,0.0,10,0.36363636363636365,1.5771686070446058,0.11475673431864908,0.06224106418777621,no trend,persistent_hot_spot,hot in 92% of bins with no significant trend,0.32538725285755904,0.09302924068712151,False,ok
LK1130060,Malwatta,12,11,0,0.9166666666666666,0.0,7,0.18181818181818182,0.7542980294561158,0.4506702853141802,0.06151403353015461,no trend,persistent_hot_spot,hot in 92% of bins with no significant trend,0.7151346242433393,0.20445924202061838,False,ok
LK1130065,Jayathilaka,12,11,0,0.9166666666666666,0.0,7,0.21212121212121213,0.8914431257208641,0.37269149047151817,0.06260163229978646,no trend,persistent_hot_spot,hot in 92% of bins with no significant trend,0.8123936736052852,0.23226591063665636,False,ok
LK1130070,Karagampitiya,12,11,0,0.9166666666666666,0.0,7,0.15151515151515152,0.6171529331913674,0.5371338571769022,0.042131819313497215,no trend,persistent_hot_spot,hot in 92% of bins with no significant trend,0.724964194475268,0.2072695471168582,False,ok
LK1130075,Kawdana East,12,10,0,0.8333333333333334,0.0,7,0.15151515151515152,0.6171529331913674,0.5371338571769022,0.038958087106603326,no trend,sporadic_hot_spot,"on and off hot in 83% of bins, never the opposite",0.5040845108633867,0.14411934971616241,False,ok
LK1131005,Mount Lavinia,12,12,0,1.0,0.0,12,0.18181818181818182,0.7542980294561158,0.4506702853141802,0.04239646062489766,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.8059220444122462,0.2304156514622425,False,ok
LK1131010,Kawdana West,12,12,0,1.0,0.0,12,0.12121212121212122,0.48000783692661914,0.6312218204782534,0.020854572908067595,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.6085443084826203,0.17398473494408878,False,ok
LK1131015,Watarappala,12,12,0,1.0,0.0,12,0.15151515151515152,0.6171529331913674,0.5371338571769022,0.03353848860289401,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.5873594550887589,0.16792791861833783,False,ok
LK1131020,Wathumulla,12,11,0,0.9166666666666666,0.0,10,0.21212121212121213,0.8914431257208641,0.37269149047151817,0.03901902568793125,no trend,persistent_hot_spot,hot in 92% of bins with no significant trend,0.7376220127274914,0.21088845723217056,False,ok
LK1131025,Katukurunduwatta,12,11,0,0.9166666666666666,0.0,10,0.21212121212121213,0.8914431257208641,0.37269149047151817,0.05987889441732324,no trend,persistent_hot_spot,hot in 92% of bins with no significant trend,0.7104342736664094,0.20311539698275982,False,ok
LK1131030,Attidiya North,12,0,0,0.0,0.0,0,0.15151515151515152,0.6171529331913674,0.5371338571769022,0.04967519896049063,no trend,no_pattern,never significantly hot or cold,0.5277779315809059,0.1508933733427002,True,ok
LK1131035,Attidiya South,12,9,0,0.75,0.0,5,0.09090909090909091,0.34286274066187084,0.7317017232242102,0.007626483616022568,no trend,sporadic_hot_spot,"on and off hot in 75% of bins, never the opposite",0.7016789143495901,0.20061221217132785,False,ok
LK1131040,Piriwena,12,10,0,0.8333333333333334,0.0,7,0.09090909090909091,0.34286274066187084,0.7317017232242102,0.02066568572423605,no trend,sporadic_hot_spot,"on and off hot in 83% of bins, never the opposite",0.8083053435784058,0.23109704420215763,False,ok
LK1131045,Wedikanda,12,8,0,0.6666666666666666,0.0,5,0.18181818181818182,0.7542980294561158,0.4506702853141802,0.03545201468274964,no trend,sporadic_hot_spot,"on and off hot in 67% of bins, never the opposite",0.7541694581744575,0.21561942401628334,False,ok
LK1131050,Vihara,12,10,0,0.8333333333333334,0.0,7,0.06060606060606061,0.20571764439712248,0.837011475105446,0.033652750074368916,no trend,sporadic_hot_spot,"on and off hot in 83% of bins, never the opposite",0.8201993236249363,0.23449757056807793,False,ok
LK1131055,Rathmalana West,12,9,0,0.75,0.0,2,0.06060606060606061,0.20571764439712248,0.837011475105446,0.020609622425445846,no trend,sporadic_hot_spot,"on and off hot in 75% of bins, never the opposite",0.8124985507694985,0.23229589534830838,False,ok
LK1131060,Rathmalana East,12,11,0,0.9166666666666666,0.0,10,0.0,0.0,1.0,-0.0011281400724631463,no trend,persistent_hot_spot,hot in 92% of bins with no significant trend,0.6671200478406443,0.19073172336268293,False,ok
LK1131065,Kandawala,12,9,0,0.75,0.0,2,0.12121212121212122,0.48000783692661914,0.6312218204782534,0.013935471781728251,no trend,sporadic_hot_spot,"on and off hot in 75% of bins, never the opposite",0.4340133561011984,0.12408578581853255,False,ok
LK1133005,Angulana North,12,8,0,0.6666666666666666,0.0,2,0.12121212121212122,0.48000783692661914,0.6312218204782534,0.05321370367039791,no trend,sporadic_hot_spot,"on and off hot in 67% of bins, never the opposite",0.9303700570717476,0.26599573034075574,False,ok
LK1133010,Kaldemulla,12,11,0,0.9166666666666666,0.0,10,0.06060606060606061,0.20571764439712248,0.837011475105446,0.013144955697473959,no trend,persistent_hot_spot,hot in 92% of bins with no significant trend,0.7826851779181196,0.22377215812649429,False,ok
LK1133015,Soysapura North,12,10,0,0.8333333333333334,0.0,9,0.12121212121212122,0.48000783692661914,0.6312218204782534,0.030035071804732853,no trend,sporadic_hot_spot,"on and off hot in 83% of bins, never the opposite",0.5866399864515397,0.16772222026835362,False,ok
LK1133020,Soysapura South,12,12,0,1.0,0.0,12,0.030303030303030304,0.06857254813237416,0.9453298708327,0.017700665079817858,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.6527343812669852,0.18661881596888455,False,ok
LK1133025,Dahampura,12,12,0,1.0,0.0,12,0.09090909090909091,0.34286274066187084,0.7317017232242102,0.04484771126817426,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.9754698811025203,0.27888991211296627,False,ok
LK1133030,Thelawala North,12,12,0,1.0,0.0,12,0.09090909090909091,0.34286274066187084,0.7317017232242102,0.033254647609693586,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.5569241225149987,0.15922636115248226,False,ok
LK1133035,Borupana,12,9,0,0.75,0.0,2,0.09090909090909091,0.34286274066187084,0.7317017232242102,0.026913346271846307,no trend,sporadic_hot_spot,"on and off hot in 75% of bins, never the opposite",0.5130048484153598,0.1466697023247698,False,ok
LK1133040,Thelawala South,12,12,0,1.0,0.0,12,0.030303030303030304,0.06857254813237416,0.9453298708327,0.0018245484339095722,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.4810043759321335,0.13752066642800448,False,ok
LK1133045,Lakshapathiya North,12,12,0,1.0,0.0,12,0.0,0.0,1.0,0.001052601550287724,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.6500286831003513,0.18584524833905278,False,ok
LK1133050,Lakshapathiya Central,12,10,0,0.8333333333333334,0.0,9,0.09090909090909091,0.34286274066187084,0.7317017232242102,0.041160090802273196,no trend,sporadic_hot_spot,"on and off hot in 83% of bins, never the opposite",0.929003358376063,0.26560498687803236,False,ok
LK1133055,Angulana South,12,7,0,0.5833333333333334,0.0,2,0.12121212121212122,0.48000783692661914,0.6312218204782534,0.05251785266493588,no trend,sporadic_hot_spot,"on and off hot in 58% of bins, never the opposite",0.8773591729925674,0.25083975157782007,False,ok
LK1133060,Uyana South,12,6,0,0.5,0.0,3,0.06060606060606061,0.20571764439712248,0.837011475105446,0.03762145742185313,no trend,sporadic_hot_spot,"on and off hot in 50% of bins, never the opposite",0.7359312365948599,0.21040505900925532,False,ok
LK1133065,Uyana North,12,8,0,0.6666666666666666,0.0,2,0.0,0.0,1.0,0.0009605159422923898,no trend,sporadic_hot_spot,"on and off hot in 67% of bins, never the opposite",0.7116703778447047,0.20346880306153858,False,ok
LK1133070,Rawathawatta South,12,10,0,0.8333333333333334,0.0,5,-0.06060606060606061,-0.20571764439712248,0.837011475105446,-0.03234903415614555,no trend,sporadic_hot_spot,"on and off hot in 83% of bins, never the opposite",0.6582792568713438,0.18820411337266402,False,ok
LK1133075,Rawathawatta East,12,11,0,0.9166666666666666,0.0,6,-0.06060606060606061,-0.20571764439712248,0.837011475105446,-0.01774708618834821,no trend,persistent_hot_spot,hot in 92% of bins with no significant trend,0.6168884757662261,0.17637035865781175,False,ok
LK1133080,Lakshapathiya South,12,12,0,1.0,0.0,12,0.0,0.0,1.0,-0.00286202908672577,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.6492597091914823,0.1856253962759432,False,ok
LK1133085,Kuduwamulla,12,9,0,0.75,0.0,4,-0.09090909090909091,-0.34286274066187084,0.7317017232242102,-0.025063284935173832,no trend,sporadic_hot_spot,"on and off hot in 75% of bins, never the opposite",0.5637288414774989,0.16117185174134616,False,ok
LK1133090,Katubedda,12,12,0,1.0,0.0,12,-0.06060606060606061,-0.20571764439712248,0.837011475105446,-0.009514603128993953,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.5102149085978241,0.14587204974155163,False,ok
LK1133095,Molpe,12,5,0,0.4166666666666667,0.0,0,-0.15151515151515152,-0.6171529331913674,0.5371338571769022,-0.029026292993887606,no trend,no_pattern,hot in only 42% of bins and not in the final bin,0.6191010849216795,0.17700295058592674,True,ok
LK1133100,Moratumulla North,12,11,0,0.9166666666666666,0.0,6,-0.09090909090909091,-0.34286274066187084,0.7317017232242102,-0.04811725394967253,no trend,persistent_hot_spot,hot in 92% of bins with no significant trend,0.8224799665415516,0.23514961356284167,False,ok
LK1133105,Kadalana,12,10,0,0.8333333333333334,0.0,5,-0.24242424242424243,-1.0285882219856124,0.303673214899419,-0.04947968482552015,no trend,sporadic_hot_spot,"on and off hot in 83% of bins, never the opposite",0.9444880838838668,0.27003211868356164,False,ok
LK1133110,Rawathawatta West,12,12,0,1.0,0.0,12,0.0,0.0,1.0,-0.0039137507134398165,no trend,persistent_hot_spot,hot in 100% of bins with no significant trend,0.6012765853875796,0.17190687001509025,False,ok
LK1133115,Idama,12,9,0,0.75,0.0,5,-0.06060606060606061,-0.20571764439712248,0.837011475105446,-0.030781350275183562,no trend,sporadic_hot_spot,"on and off hot in 75% of bins, never the opposite",0.8804685160574469,0.2517287225556971,False,ok
LK1133120,Uswatta,12,5,0,0.4166666666666667,0.0,3,0.21212121212121213,0.8914431257208641,0.37269149047151817,0.07129531025762506,no trend,sporadic_hot_spot,"on and off hot in 42% of bins, never the opposite",0.985812086314307,0.281846781164945,False,ok
LK1133125,Moratuwella South,12,3,0,0.25,0.0,0,0.15151515151515152,0.6171529331913674,0.5371338571769022,0.07363827583951768,no trend,no_pattern,hot in only 25% of bins and not in the final bin,1.0978448776696677,0.31387730915987655,True,ok
LK1133130,Indibedda West,12,2,1,0.16666666666666666,0.08333333333333333,0,-0.30303030303030304,-1.302878414515109,0.19261627432960227,-0.07286278584361472,no trend,no_pattern,hot in only 17% of bins and not in the final bin,1.0675595848518475,0.3052186485329273,True,ok
LK1133135,Moratumulla East,12,9,0,0.75,0.0,2,-0.3333333333333333,-1.4400235107798574,0.14986074751304912,-0.07467542188203119,no trend,sporadic_hot_spot,"on and off hot in 75% of bins, never the opposite",1.0677170254812665,0.30526366130487675,False,ok
LK1133140,Moratumulla West,12,6,0,0.5,0.0,0,-0.21212121212121213,-0.8914431257208641,0.37269149047151817,-0.05035485257235102,no trend,no_pattern,hot in only 50% of bins and not in the final bin,1.0839699294407392,0.3099104177497961,True,ok
LK1133145,Villorawatta East,12,0,1,0.0,0.08333333333333333,0,-0.36363636363636365,-1.5771686070446058,0.11475673431864908,-0.06136129799472982,no trend,no_pattern,cold in only 8% of bins and not in the final bin,0.8400651402397985,0.24017727012323922,True,ok
LK1133150,Villorawatta West,12,6,0,0.5,0.0,0,-0.2727272727272727,-1.1657333182503609,0.24372228477217428,-0.07673428980162457,no trend,no_pattern,hot in only 50% of bins and not in the final bin,0.8656713295631633,0.24749816032014593,True,ok
LK1133155,Indibedda East,12,0,1,0.0,0.08333333333333333,0,-0.21212121212121213,-0.8914431257208641,0.37269149047151817,-0.030030069143270333,no trend,no_pattern,cold in only 8% of bins and not in the final bin,0.8856317222868555,0.25320489948277286,True,ok
LK1133160,Moratuwella North,12,4,0,0.3333333333333333,0.0,0,0.24242424242424243,1.0285882219856124,0.303673214899419,0.0785773481191037,no trend,no_pattern,hot in only 33% of bins and not in the final bin,0.9483610726793039,0.2711394183815832,True,ok
LK1133165,Moratuwella West,12,1,0,0.08333333333333333,0.0,0,0.18181818181818182,0.7542980294561158,0.4506702853141802,0.05732823138578466,no trend,no_pattern,hot in only 8% of bins and not in the final bin,0.8420387199715665,0.24074152278608785,True,ok
LK1133170,Koralawella North,12,1,0,0.08333333333333333,0.0,0,0.06060606060606061,0.20571764439712248,0.837011475105446,0.02739275351688831,no trend,no_pattern,hot in only 8% of bins and not in the final bin,0.9358531362057746,0.2675633599389848,True,ok
LK1133175,Koralawella East,12,1,0,0.08333333333333333,0.0,0,0.06060606060606061,0.20571764439712248,0.837011475105446,0.02739275351688831,no trend,no_pattern,hot in only 8% of bins and not in the final bin,0.9358531362057746,0.2675633599389848,True,ok
LK1133180,Koralawella West,12,1,0,0.08333333333333333,0.0,0,-0.06060606060606061,-0.20571764439712248,0.837011475105446,-0.01325431531633518,no trend,no_pattern,hot in only 8% of bins and not in the final bin,1.0133030551570295,0.28970653576421734,True,ok
LK1133185,Koralawella South,12,0,1,0.0,0.08333333333333333,0,-0.09090909090909091,-0.34286274066187084,0.7317017232242102,-0.03479446340292562,no trend,no_pattern,cold in only 8% of bins and not in the final bin,1.0985459287318882,0.3140777418671462,True,ok
LK1133190,Katukurunda North,12,0,1,0.0,0.08333333333333333,0,-0.09090909090909091,-0.34286274066187084,0.7317017232242102,-0.03548409929657595,no trend,no_pattern,cold in only 8% of bins and not in the final bin,1.0882439851215833,0.31113238373387064,True,ok
LK1133195,Katukurunda South,12,0,1,0.0,0.08333333333333333,0,-0.12121212121212122,-0.48000783692661914,0.6312218204782534,-0.043002421571649276,no trend,no_pattern,cold in only 8% of bins and not in the final bin,1.0213912148080764,0.29201896608926914,True,ok
LK1133200,Egoda Uyana North,12,0,1,0.0,0.08333333333333333,0,-0.06060606060606061,-0.20571764439712248,0.837011475105446,-0.014939354943086264,no trend,no_pattern,cold in only 8% of bins and not in the final bin,1.0770566532171117,0.30793389029797874,True,ok
LK1133205,Egoda Uyana Central,12,0,1,0.0,0.08333333333333333,0,-0.18181818181818182,-0.7542980294561158,0.4506702853141802,-0.023904711526137344,no trend,no_pattern,cold in only 8% of bins and not in the final bin,1.0394875323024173,0.29719276027126973,True,ok
LK1133210,Egoda Uyana South,12,0,1,0.0,0.08333333333333333,0,-0.18181818181818182,-0.7542980294561158,0.4506702853141802,-0.024759735534165862,no trend,no_pattern,cold in only 8% of bins and not in the final bin,0.8869826066328839,0.25359112157310826,True,ok
LK1136005,Pepiliyana West,12,5,0,0.4166666666666667,0.0,3,0.5454545454545454,2.400039184633096,0.016393316888809073,0.06693487334828407,increasing,sporadic_hot_spot,"on and off hot in 42% of bins, never the opposite",0.26398150551899163,0.07547314407127509,False,ok
LK1136010,Pepiliyana East,12,6,0,0.5,0.0,3,0.3939393939393939,1.714313703309354,0.08647112777407262,0.06928555202834635,no trend,sporadic_hot_spot,"on and off hot in 50% of bins, never the opposite",0.4520483955828973,0.12924206042366948,False,ok
LK1136015,Divulpitiya East,12,2,0,0.16666666666666666,0.0,1,0.21212121212121213,0.8914431257208641,0.37269149047151817,0.06436889087773784,no trend,sporadic_hot_spot,"on and off hot in 17% of bins, never the opposite",0.7480895325353872,0.21388115412196615,False,ok
LK1136020,Divulpitiya West,12,0,0,0.0,0.0,0,0.3333333333333333,1.4400235107798574,0.14986074751304912,0.06374550568772762,no trend,no_pattern,never significantly hot or cold,0.6115508640689374,0.17484431865802472,True,ok
