zone_id,beta_intercept,t_intercept,sig_intercept,beta_NDVI,t_NDVI,sig_NDVI,beta_NDBI,t_NDBI,sig_NDBI,beta_built_fraction,t_built_fraction,sig_built_fraction,beta_pop_density,t_pop_density,sig_pop_density,beta_elevation_m,t_elevation_m,sig_elevation_m,beta_dist_coast_km,t_dist_coast_km,sig_dist_coast_km,local_r2
LK1106010,0.18194103388838104,1.2610342669811874,False,0.17260037742083958,1.5582270718231517,False,0.8756597639115815,5.851738579258649,True,0.27975319961938727,2.870690636867243,False,-0.06548426265735297,-2.7998907321941493,False,-0.25448263458590287,-1.5343724177291471,False,0.3615010944436794,4.724936379761929,True,0.8576462999889515
LK1106015,0.3471515172053152,2.468747027980396,False,0.2777355939963922,2.2395868645380257,False,0.9237572288136745,5.622890644664513,True,0.35025693674715436,3.6539621306289924,True,-0.05837925767825033,-2.120485560927985,False,0.014909980492609977,0.08055159605073253,False,0.35134754201651236,4.2495530722554165,True,0.8623353149563248
LK1106020,0.2547308694827969,1.7648095534760468,False,0.2694166282600585,2.1978806089774974,False,0.9290248979230175,5.786952365899163,True,0.33873170287500015,3.455162336405891,True,-0.059640440681683074,-2.3470922095145106,False,-0.08274361364482286,-0.45988276134742206,False,0.32126005975340477,4.039972872900602,True,0.8611915709842342
LK1106025,0.1843307243053957,1.2625834482728155,False,0.2117791872365407,1.7975733329484287,False,0.9008639955248887,5.80609052902136,True,0.2967860311835807,2.99355195752212,True,-0.061011624852534425,-2.541430512634652,False,-0.2051404543537116,-1.1976997077051639,False,0.32838134571747274,4.2214958563346965,True,0.8582966412455858
LK1106030,0.1562614620473564,1.0875759759972452,False,0.14579755078426054,1.3087761349262221,False,0.8595658996767604,5.753860162508574,True,0.24018048465077804,2.4223107807605664,False,-0.05817537094469874,-2.5357290817443032,False,-0.2548758182749505,-1.5243874683657768,False,0.3086136622133931,4.040998886906823,True,0.8549889892631539
LK1106035,0.19822892542290385,1.4012145025146954,False,0.2030240504754819,1.800253642837886,False,0.8817566314309907,5.994414735291226,True,0.2654071587226264,2.731400097636274,False,-0.054144937657201804,-2.3405929025849708,False,-0.10949121843359899,-0.6176802714971343,False,0.21496057748816222,2.771003249874134,False,0.8682466963529806
LK1106040,0.30490868739100735,2.002146183068169,False,0.30287129724842204,2.34579651735031,False,0.9447192472049538,5.676390401549783,True,0.35325318506362186,3.464127202127372,True,-0.04747558354171407,-1.7397231211776225,False,0.07771026420407938,0.3765937714550256,False,0.26130300181716587,3.088825237277185,True,0.8617209334209912
LK1106045,0.4024205589887991,2.926955667721699,False,0.33648461529318885,2.6739299532268386,False,0.9564521128761349,5.835032083213992,True,0.37400031819540946,3.8238770650427596,True,-0.045048864577387736,-1.4993167694890361,False,0.2120030095684226,1.0255246205075734,False,0.2632234573155009,3.053413323123249,True,0.8710413481403695
LK1106050,0.4090568691092019,3.2895198540539554,True,0.3452589554379015,2.7722824166631317,False,0.962981243864042,5.947091180839865,True,0.37798823413669613,3.925310142719139,True,-0.052481518859887936,-1.5736224359867554,False,0.18706745139135159,0.945077987729757,False,0.2755870190879046,3.1191766305112103,True,0.8801332629715213
LK1106055,0.3823948947766627,3.3480343763888776,True,0.31617412584838084,2.5086910696999385,False,0.9482137400556908,5.791991572195409,True,0.36517760198036425,3.748648545461371,True,-0.06332577034137662,-1.70317415586988,False,0.0961266030445473,0.5140946629737,False,0.29488685940940174,3.1486347340220573,True,0.8836556778996153
LK1106060,0.3115605413633836,2.861639805615997,False,0.25177466463655396,1.9170144713238095,False,0.9206686297975782,5.583546809496786,True,0.36992022260484403,3.657511204169863,True,-0.10492272845375007,-2.098199810027893,False,-0.07386350163397579,-0.37990519916799803,False,0.3156744285550137,2.9700902116245533,True,0.8871745922369147
LK1106065,0.25309442210822797,2.3825241513008515,False,0.2043297579068637,1.4927191365426826,False,0.9025263802431696,5.396373880759934,True,0.34188379859009943,3.481085141668644,True,-0.1033158886961214,-1.900795328604461,False,-0.15887117072357457,-0.7780367882083112,False,0.2898063386680067,2.697364069274737,False,0.8895396885010277
LK1106070,0.19854231639110673,1.8368008993196439,False,-0.09294298786604596,-0.5165823168415534,False,0.7515083327380184,3.5317833904240437,True,0.28307719325811415,2.574477141273549,False,-0.06124300269287864,-0.9229363808095528,False,-0.05670974953986064,-0.2367362561219715,False,0.09472033819067248,0.9884020677743541,False,0.892847525930342
LK1106075,0.22264199769093523,2.054169132862901,False,0.0652018818856953,0.42111424579861945,False,0.8265173287788816,4.573189881833435,True,0.3262773561500179,3.2440897104468114,True,-0.10223766644450029,-1.7625307287860634,False,-0.14325719545741908,-0.6522962840225373,False,0.22373669514907285,2.136395600098299,False,0.8913316866361164
LK1106080,0.25434642084160225,2.3755684716493546,False,0.026871068623256677,0.1867481117221676,False,0.7782830075727719,4.6241745664558485,True,0.36911030320153754,3.718989997435585,True,-0.12151464599883707,-2.246074725165377,False,-0.08820730876233168,-0.42795705741699896,False,0.23664470220477773,2.2709974448799386,False,0.8891123906794399
