year,source,rural_definition,urban_mean,rural_mean,suhii,urban_pixels,rural_pixels
2011,landsat_dry,lcz_based,36.33436495509119,30.989111489255873,5.345253465835317,42380,10881
2012,landsat_dry,lcz_based,38.04410789349991,33.89959936835419,4.144508525145724,40350,12667
2013,landsat_dry,lcz_based,37.974171876165926,33.26294759525725,4.711224280908674,42504,11689
2014,landsat_dry,lcz_based,36.87560763268197,34.02883098817435,2.846776644507621,46788,14211
2015,landsat_dry,lcz_based,39.28873424617941,35.77313034776814,3.515603898411271,46788,14211
2016,landsat_dry,lcz_based,38.4269260021224,35.112977310938675,3.3139486911837253,46788,14211
2017,landsat_dry,lcz_based,37.952767784364745,34.10882880727382,3.8439389770909287,46788,14213
2018,landsat_dry,lcz_based,39.358768994664686,35.35696148099124,4.001807513673448,46788,14211
2019,landsat_dry,lcz_based,37.43839248506362,33.64488558742631,3.7935068976373145,46788,14211
2020,landsat_dry,lcz_based,37.85516621102986,33.78611019142719,4.0690560196026695,46713,14209
2021,landsat_dry,lcz_based,38.15118370396479,34.300781145280894,3.8504025586838964,46788,14211
2022,landsat_dry,lcz_based,38.05214990078205,33.673765578682364,4.378384322099684,46788,14211
2023,landsat_dry,lcz_based,34.309017174895466,30.795968198981157,3.513048975914309,46788,14212
2024,landsat_dry,lcz_based,37.60836525856016,33.45286428597201,4.15550097258815,46788,14212
2025,landsat_dry,lcz_based,36.84898469581498,32.942047776572814,3.9069369192421632,46788,14211
2000,landsat_oli_dry,buffer_ring,,,,0,0
2001,landsat_oli_dry,buffer_ring,,,,0,0
2002,landsat_oli_dry,buffer_ring,,,,0,0
2003,landsat_oli_dry,buffer_ring,,,,0,0
2004,landsat_oli_dry,buffer_ring,,,,0,0
2005,landsat_oli_dry,buffer_ring,,,,0,0
2006,landsat_oli_dry,buffer_ring,,,,0,0
2007,landsat_oli_dry,buffer_ring,,,,0,0
2008,landsat_oli_dry,buffer_ring,,,,0,0
2009,landsat_oli_dry,buffer_ring,,,,0,0
2010,landsat_oli_dry,buffer_ring,,,,0,0
2011,landsat_oli_dry,buffer_ring,,,,0,0
2012,landsat_oli_dry,buffer_ring,,,,0,0
2013,landsat_oli_dry,buffer_ring,,,,0,0
2014,landsat_oli_dry,buffer_ring,40.76245452788462,34.34039012722924,6.42206440065538,4046,3917
2015,landsat_oli_dry,buffer_ring,42.49208922110391,36.13616958162387,6.355919639480042,4046,3917
2016,landsat_oli_dry,buffer_ring,42.30899028334945,35.073388802570015,7.235601480779437,4046,3917
2017,landsat_oli_dry,buffer_ring,39.67320736033222,34.6908244721464,4.982382888185818,4046,3917
2018,landsat_oli_dry,buffer_ring,42.231252293155386,34.98842341832309,7.242828874832298,4046,3917
2019,landsat_oli_dry,buffer_ring,42.056471160421026,33.657444096658494,8.399027063762531,4046,3917
2020,landsat_oli_dry,buffer_ring,39.44974935591014,34.3335070070759,5.116242348834241,4046,3917
2021,landsat_oli_dry,buffer_ring,40.945744329198895,34.510471350811315,6.43527297838758,4046,3917
2022,landsat_oli_dry,buffer_ring,41.63046854578264,33.93983606090648,7.690632484876161,4046,3917
2023,landsat_oli_dry,buffer_ring,39.10183362164123,31.9199189158584,7.181914705782827,4046,3917
2024,landsat_oli_dry,buffer_ring,40.9929089972835,33.67052234165639,7.322386655627113,4046,3917
2025,landsat_oli_dry,buffer_ring,39.7127620783762,33.5155390957834,6.197222982592798,4046,3917
2000,landsat_oli_dry,lcz_based,,,,0,0
2001,landsat_oli_dry,lcz_based,,,,0,0
2002,landsat_oli_dry,lcz_based,,,,0,0
2003,landsat_oli_dry,lcz_based,,,,0,0
2004,landsat_oli_dry,lcz_based,,,,0,0
2005,landsat_oli_dry,lcz_based,,,,0,0
2006,landsat_oli_dry,lcz_based,,,,0,0
2007,landsat_oli_dry,lcz_based,,,,0,0
2008,landsat_oli_dry,lcz_based,,,,0,0
2009,landsat_oli_dry,lcz_based,,,,0,0
2010,landsat_oli_dry,lcz_based,,,,0,0
2011,landsat_oli_dry,lcz_based,,,,0,0
2012,landsat_oli_dry,lcz_based,,,,0,0
2013,landsat_oli_dry,lcz_based,,,,0,0
2014,landsat_oli_dry,lcz_based,36.839923251786175,34.02514227828417,2.8147809735020033,46788,14211
2015,landsat_oli_dry,lcz_based,39.523067237278156,35.80856249372575,3.7145047435524035,46788,14211
2016,landsat_oli_dry,lcz_based,38.50486051407016,35.12342115890349,3.3814393551666697,46788,14211
2017,landsat_oli_dry,lcz_based,38.177968081630446,34.15667799506946,4.021290086560988,46788,14213
2018,landsat_oli_dry,lcz_based,39.51907522139367,35.3810756015248,4.1379996198688715,46788,14211
2019,landsat_oli_dry,lcz_based,37.58543523999089,33.670138775873156,3.9152964641177377,46788,14211
2020,landsat_oli_dry,lcz_based,37.991470393577735,33.80563776379719,4.185832629780542,46710,14198
2021,landsat_oli_dry,lcz_based,38.22652759840196,34.30553747015456,3.9209901282473965,46788,14211
2022,landsat_oli_dry,lcz_based,38.144366593418255,33.683281839896104,4.461084753522151,46788,14211
2023,landsat_oli_dry,lcz_based,35.94831815874425,31.654277429131586,4.294040729612664,46788,14212
2024,landsat_oli_dry,lcz_based,37.60836525856016,33.45286428597201,4.15550097258815,46788,14212
2025,landsat_oli_dry,lcz_based,36.84898469581498,32.942047776572814,3.9069369192421632,46788,14211
2000,terra_day,buffer_ring,34.108862982855904,30.34486997127533,3.763993011580574,18,32
2001,terra_day,buffer_ring,34.89862834706026,29.535820066928864,5.3628082801313965,17,32
2002,terra_day,buffer_ring,33.88939229179831,30.002979040145874,3.886413251652435,17,32
2003,terra_day,buffer_ring,32.855888790554474,30.29933601617813,2.5565527743763425,18,32
2004,terra_day,buffer_ring,33.48124370574951,30.70717614889145,2.774067556858064,20,32
2005,terra_day,buffer_ring,33.00884532928467,30.103013932704926,2.9058313965797424,16,32
2006,terra_day,buffer_ring,34.157726512235755,30.37006139755249,3.7876651146832643,17,32
2007,terra_day,buffer_ring,33.717271380954315,30.74773919582367,2.969532185130646,18,32
2008,terra_day,buffer_ring,34.46403015984429,30.266304850578308,4.197725309265984,18,32
2009,terra_day,buffer_ring,34.141732427808975,30.85767310857773,3.284059319231247,18,32
2010,terra_day,buffer_ring,34.37581221262614,31.15442830324173,3.221383909384407,18,32
2011,terra_day,buffer_ring,33.34224998950958,30.562547087669373,2.77970290184021,16,32
2012,terra_day,buffer_ring,33.89998020845301,30.985195696353912,2.9147845120990965,17,32
2013,terra_day,buffer_ring,34.00701594352722,30.4130699634552,3.5939459800720215,16,32
2014,terra_day,buffer_ring,34.07747919419233,31.750214636325836,2.327264557866492,17,32
