zone_id,gi_z_pooled,gi_z_single_sensor,class_pooled,class_single_sensor
LK1103155,3.661167399246676,3.5935880555151734,hot_99,hot_99
LK1103160,3.1619823321791225,3.129234536884009,hot_95,hot_99
LK1103165,2.931214031428215,2.919557586571562,hot_95,hot_95
LK1103170,2.490486880103942,2.5370756940624135,hot_95,hot_95
LK1103175,1.8148430195230125,1.867319192953667,hot_90,hot_90
LK1106005,3.600955093218192,3.5725870106527657,hot_99,hot_99
LK1106010,1.6386001644452601,1.6641893135868702,ns,ns
LK1106015,0.8527822494914664,0.8748503016419823,ns,ns
LK1106020,1.0821658748291292,1.1092060485595776,ns,ns
LK1106025,2.459839052443149,2.456645928027795,hot_95,hot_95
LK1106030,3.2608906241833364,3.2285507983928228,hot_95,hot_95
LK1106035,3.4327983989005233,3.3537208941129997,hot_99,hot_99
LK1106040,1.6606461759477242,1.6851721164475855,hot_90,hot_90
LK1106045,1.6274869506050404,1.648219061770948,ns,ns
LK1106050,1.8464388503589302,1.9012679765295344,hot_90,hot_90
LK1106055,1.461740048520326,1.5308383668435346,ns,ns
LK1106060,1.3248660067589546,1.431781864354972,ns,ns
LK1106065,0.46861177936089893,0.5808126705363201,ns,ns
LK1106070,-0.2368659517254016,-0.17140898485455403,ns,ns
LK1106075,0.36302877924308036,0.465181114520496,ns,ns
LK1106080,1.2484866939233454,1.3642944208720709,ns,ns
LK1106085,2.4607631607237748,2.5223993300967096,hot_95,hot_95
LK1106090,2.3008129365702557,2.3288289498354464,hot_95,hot_95
LK1106095,2.4126273875096467,2.4441402248565116,hot_90,hot_90
LK1106100,2.2011048672021674,2.191859622645546,hot_95,hot_90
LK1106105,2.0430894156009423,2.026554181791922,hot_90,ns
LK1106110,2.598377565534333,2.5294192143144887,hot_95,hot_95
LK1106115,2.373361672427151,2.325849185739798,hot_95,hot_95
LK1106120,2.2756200611949446,2.2945790897549223,hot_90,hot_95
LK1106125,1.6421839287714557,1.706604010602098,ns,ns
LK1106130,2.1426000917318713,2.1612246431166575,hot_90,hot_90
LK1106135,2.8900887091838525,2.9315276929188743,hot_95,hot_95
LK1106140,1.4264493222490167,1.5134627483135976,ns,ns
LK1106145,0.8100927438202264,0.9083385528994172,ns,ns
LK1106150,0.5785172422973095,0.6320476606601731,ns,ns
LK1106155,-0.15864169126387725,-0.1329242430564895,ns,ns
LK1106160,0.0823452206182246,0.09989379527839926,ns,ns
LK1106165,0.6719170116884684,0.7236714136859024,ns,ns
LK1106170,1.1221954905076017,1.18283542643559,ns,ns
LK1106175,1.0507171149721015,1.1052616954300272,ns,ns
LK1106180,1.1559681446366286,1.2249151624089212,ns,ns
LK1106185,2.3169688704857254,2.4047235815122874,hot_95,hot_95
LK1106190,2.811036285641004,2.8291265490273507,hot_95,hot_95
LK1106195,2.557277500770397,2.563518394349918,hot_90,hot_90
LK1106200,2.012045878605686,2.0943654966186283,hot_95,hot_95
LK1106205,0.9952215996290558,1.111072703897748,ns,ns
LK1106210,1.3167306323385495,1.402326496418596,ns,ns
LK1106215,2.9987165294494074,2.985151069573642,hot_99,hot_99
LK1106220,0.1088304844827668,0.20380619153630972,ns,ns
LK1106225,1.5402621314463507,1.6022145570472668,ns,ns
LK1106230,2.559046062563442,2.547498654547678,hot_95,hot_95
LK1109005,-0.28195697036321143,-0.25450620551310066,ns,ns
LK1109010,-0.3221509916632252,-0.3045541549671412,ns,ns
LK1109015,-0.14040227352424353,-0.09670491877131045,ns,ns
LK1109020,-0.6124965454112702,-0.5830716625595452,ns,ns
LK1109025,-0.7731638832236468,-0.7918006166948027,ns,ns
LK1109030,-0.8442135622560898,-0.8770271628386592,ns,ns
LK1109035,-0.9769297423028579,-1.0186638824579042,ns,ns
LK1109040,-1.3521453186642896,-1.3748083407915426,ns,ns
LK1109045,-1.1508627330626733,-1.1581066206702564,ns,ns
LK1109050,-0.6648715476688211,-0.6356474106381294,ns,ns
LK1109055,-0.621992046413119,-0.5789499944385651,ns,ns
LK1109060,0.05918054195361164,0.10895279440884176,ns,ns
LK1109065,0.5092376412462679,0.5947806364366847,ns,ns
LK1109070,0.1390372678995607,0.20728534821352326,ns,ns
LK1109075,-0.7983266391456681,-0.7486122580724709,ns,ns
LK1109080,-1.8546822436002182,-1.842966464531461,cold_90,cold_90
LK1109085,-1.6255069366899448,-1.6185413053634083,ns,ns
LK1109090,-1.5869173690325316,-1.5895451599831858,ns,ns
LK1109095,-1.0483620219811913,-1.0619535676418235,ns,ns
LK1109100,-2.0808220790336884,-2.0786645458848234,cold_90,cold_90
LK1109105,-2.0087341874098823,-2.026749725073158,cold_90,cold_90
LK1109110,-1.9180138978785954,-1.9503407196870761,cold_90,cold_90
LK1109115,-1.3015637305015673,-1.2913584590838845,ns,ns
LK1109120,-1.2796066650796358,-1.1655090219022273,ns,ns
LK1109125,-0.3474053449446592,-0.2569361815048072,ns,ns
LK1109130,0.30503958031006806,0.3939489502314319,ns,ns
LK1109135,0.49980703925042863,0.5966054281659495,ns,ns
LK1109140,0.83078783862635,0.8966146051537035,ns,ns
LK1109145,0.8856869537297066,0.9558525509492932,ns,ns
LK1109150,1.9735790111632652,2.0666391804781767,hot_90,hot_90
LK1109155,1.5430824622944639,1.6389472067963682,ns,ns
LK1109160,0.955257337355622,1.012582237413495,ns,ns
LK1109165,0.08760955043866776,0.16400768446971553,ns,ns
LK1109170,1.5065027877269321,1.603080693246896,ns,ns
LK1109175,2.0073801260442643,2.0873577342079614,ns,hot_90
LK1109180,1.9058620499565162,2.0159665689922037,ns,ns
LK1109185,1.2632720864039013,1.3421408633972143,ns,ns
LK1109190,0.2675262673853717,0.3171887097353037,ns,ns
LK1109195,-0.6193448742791273,-0.48311772614138504,ns,ns
LK1109200,-1.4596592738383902,-1.4574880876176142,ns,ns
LK1109205,-1.5409569815084194,-1.50572878581022,ns,ns
LK1109210,-1.235926828089955,-1.0961746646311907,ns,ns
LK1109215,-0.9779211632430861,-0.8365817634295712,ns,ns
LK1109220,-0.906726965090988,-0.7693207271040887,ns,ns
LK1109225,-0.40964089526231057,-0.3190971171813612,ns,ns
LK1109230,0.417524872809603,0.4387453998060847,ns,ns
LK1109235,1.3483922919633333,1.384546048790831,ns,ns
LK1109240,1.5417057303675838,1.5119724779763353,ns,ns
LK1109245,1.6363708323390311,1.6966052672554943,ns,ns
LK1109250,1.1986443823578345,1.2555213436320618,ns,ns
LK1109255,1.5090032209236999,1.6331550368856305,ns,ns
LK1109260,1.4730295699134184,1.5218068503710445,ns,ns
LK1109265,1.4093688867193035,1.5270236839316564,ns,ns
LK1109270,1.225062093902349,1.2005380924912143,ns,ns
LK1109275,-0.26772666675935736,-0.2524598310512515,ns,ns
LK1109280,-0.6593518693142393,-0.592336116719174,ns,ns
LK1109285,-1.363045899278477,-1.2811141800450303,ns,ns
LK1112005,-2.205104913190443,-2.221438351963497,cold_95,cold_95
LK1112010,-1.4040813211564607,-1.4308701242006292,ns,ns
LK1112015,-2.030630930824433,-2.0651600557697805,cold_90,cold_90
LK1112020,-2.3454332280818666,-2.3752242393527863,cold_95,cold_95
LK1112025,-2.1496628857032776,-2.1779341852854364,cold_90,cold_90
LK1112030,-2.15775905489459,-2.200911915569632,cold_95,cold_95
LK1112035,-1.9750083260025013,-2.011210417210064,cold_90,cold_90
LK1112040,-1.845578223119737,-1.8631108926289548,cold_90,cold_90
LK1112045,-2.6201283745336528,-2.6280509564706027,cold_95,cold_95
LK1112050,-1.5100730737338708,-1.532384512350132,ns,ns
LK1112055,-1.7220703272227682,-1.724424817932112,ns,ns
LK1112060,-1.6172821712523673,-1.6153606218057668,ns,ns
LK1112065,-1.6478676546445783,-1.6810117204514095,ns,ns
LK1112070,-2.026472059136386,-2.071233211328478,cold_95,cold_95
LK1112075,-1.878636431444876,-1.9092296988526667,cold_90,cold_90
LK1112080,-2.8992683975251023,-2.9416009261360023,cold_99,cold_99
LK1112085,-2.425117296638273,-2.4783190820879493,cold_95,cold_95
LK1112090,-1.885003352595312,-1.924803943818,cold_90,cold_90
LK1112095,-1.4019254045518956,-1.4487655615019448,ns,ns
LK1112100,-1.4060847897290432,-1.4612508917910325,ns,ns
LK1112105,-1.3378110091929154,-1.3825658030307757,ns,ns
LK1112110,-1.1355406558460626,-1.1260190687893958,ns,ns
LK1112115,-1.0222496630404916,-1.0286456721659591,ns,ns
LK1112120,-1.0899923309296697,-1.064518639507018,ns,ns
LK1112125,-0.42845425338237175,-0.3978113481586396,ns,ns
LK1112130,-0.2140521578775962,-0.22742727224055675,ns,ns
LK1112135,-0.9040191884204063,-0.9318490021417718,ns,ns
LK1112140,-0.8756622565710064,-0.8981998845961512,ns,ns
LK1112145,-1.2037979171517474,-1.2468807467910068,ns,ns
LK1112150,-1.6062199815038103,-1.6615630075256198,ns,ns
LK1112155,-1.7690818739007452,-1.8185416185560899,cold_90,cold_90
LK1112160,-2.0296782368702253,-2.0732613434582268,cold_90,cold_90
LK1112165,-3.330389950158748,-3.3508482399168886,cold_99,cold_99
LK1112170,-3.058380548359841,-3.074449122574452,cold_99,cold_99
LK1112175,-1.9608107606304555,-1.9971400795316134,cold_90,cold_90
LK1112180,-2.165929799902276,-2.1863532826819396,cold_95,cold_95
LK1112185,-1.675766681622337,-1.6750127352814765,ns,ns
LK1112190,-1.3133465803404112,-1.295415415365141,ns,ns
LK1112195,-0.15193477511151665,-0.16416957931585416,ns,ns
LK1112200,-0.8998246651000594,-0.8839237584121032,ns,ns
LK1112205,-0.8132901942606149,-0.7561825392611092,ns,ns
LK1112210,-0.654909909320323,-0.6139041888832435,ns,ns
LK1112215,-0.6232282689500871,-0.5590004946988028,ns,ns
LK1112220,-0.513255360132705,-0.4757865042428067,ns,ns
LK1112225,-0.6845667151417115,-0.6331339498117824,ns,ns
LK1112230,-0.5045953238395715,-0.4921213564684779,ns,ns
LK1112235,0.695479477560087,0.6689673579323736,ns,ns
LK1112240,-0.25684603335043116,-0.2478707072402159,ns,ns
LK1112245,-1.125333151099223,-1.0790930418748548,ns,ns
LK1112250,-1.7462540489525868,-1.6642802187603374,cold_90,ns
LK1112255,-1.332410825349026,-1.2902735689896285,ns,ns
LK1112260,-1.666175498247206,-1.614012124153382,ns,ns
