zone_id,scenario,year,projected_lst_c,validated,rank,priority
LK1112115,business_as_usual,2030,35.92802341885384,False,393,False
LK1112120,business_as_usual,2030,37.08947731952929,False,359,False
LK1112125,business_as_usual,2030,36.728296183988526,False,319,False
LK1112130,business_as_usual,2030,37.45988354174512,False,281,False
LK1112135,business_as_usual,2030,37.092614790671995,False,325,False
LK1112140,business_as_usual,2030,37.260416701350564,False,351,False
LK1112145,business_as_usual,2030,37.25320805849315,False,340,False
LK1112150,business_as_usual,2030,36.91627054371068,False,373,False
LK1112155,business_as_usual,2030,36.8597574515408,False,385,False
LK1112160,business_as_usual,2030,36.162227399670094,False,418,False
LK1112165,business_as_usual,2030,35.097771086986064,False,477,False
LK1112170,business_as_usual,2030,35.230909704868225,False,468,False
LK1112175,business_as_usual,2030,35.64627825002794,False,437,False
LK1112180,business_as_usual,2030,35.85910915566241,False,436,False
LK1112185,business_as_usual,2030,34.88104840419313,False,420,False
LK1112190,business_as_usual,2030,36.676958816990926,False,346,False
LK1112195,business_as_usual,2030,37.561413733430655,False,264,False
LK1112200,business_as_usual,2030,36.40788159875278,False,353,False
LK1112205,business_as_usual,2030,37.34448415828633,False,332,False
LK1112210,business_as_usual,2030,37.148250348545616,False,342,False
LK1112215,business_as_usual,2030,36.804909316409784,False,345,False
LK1112220,business_as_usual,2030,37.06708200809866,False,344,False
LK1112225,business_as_usual,2030,37.062416946041864,False,341,False
LK1112230,business_as_usual,2030,36.77497109237613,False,304,False
LK1112235,business_as_usual,2030,37.151482023385604,False,165,False
LK1112240,business_as_usual,2030,37.01213746749181,False,291,False
LK1112245,business_as_usual,2030,36.03014185722314,False,364,False
LK1112250,business_as_usual,2030,34.818454536710654,False,403,False
LK1112255,business_as_usual,2030,35.29112950643449,False,406,False
LK1112260,business_as_usual,2030,35.79504095943462,False,379,False
LK1112265,business_as_usual,2030,35.707294666485524,False,405,False
LK1112270,business_as_usual,2030,35.21507752129813,False,455,False
LK1112275,business_as_usual,2030,35.56869654687461,False,426,False
LK1112280,business_as_usual,2030,35.44976425797687,False,452,False
LK1112285,business_as_usual,2030,34.377091904326456,False,465,False
LK1112290,business_as_usual,2030,34.752916371927334,False,410,False
LK1112295,business_as_usual,2030,34.15501550884764,False,448,False
LK1112300,business_as_usual,2030,34.25812323439758,False,402,False
LK1112305,business_as_usual,2030,35.30033664123779,False,378,False
LK1112310,business_as_usual,2030,37.31678296243795,False,249,False
LK1112315,business_as_usual,2030,35.97365826884912,False,370,False
LK1112320,business_as_usual,2030,35.71297287230272,False,387,False
LK1112325,business_as_usual,2030,36.06784336753967,False,375,False
LK1112330,business_as_usual,2030,35.310703698083685,False,384,False
LK1112335,business_as_usual,2030,35.32319006625976,False,381,False
LK1112340,business_as_usual,2030,34.84555597443424,False,390,False
LK1112345,business_as_usual,2030,34.30419532211607,False,417,False
LK1112350,business_as_usual,2030,34.851923753954345,False,377,False
LK1112355,business_as_usual,2030,35.1876114820163,False,440,False
LK1112360,business_as_usual,2030,34.727423753853756,False,427,False
LK1112365,business_as_usual,2030,35.502287522738875,False,368,False
LK1112370,business_as_usual,2030,34.73902044896913,False,397,False
LK1112375,business_as_usual,2030,35.858962152145146,False,367,False
LK1112380,business_as_usual,2030,34.492635718672666,False,422,False
LK1112385,business_as_usual,2030,36.23672059945751,False,366,False
LK1112390,business_as_usual,2030,34.734565536077184,False,449,False
LK1112395,business_as_usual,2030,33.9458963175597,False,484,False
LK1112400,business_as_usual,2030,34.162634981499245,False,466,False
LK1112405,business_as_usual,2030,34.695006775522174,False,429,False
LK1115005,business_as_usual,2030,33.37221849909838,False,518,False
LK1115010,business_as_usual,2030,33.881955720723695,False,507,False
LK1115015,business_as_usual,2030,32.431474578321485,False,540,False
LK1115020,business_as_usual,2030,32.71318317606344,False,536,False
LK1115025,business_as_usual,2030,32.98677616710647,False,531,False
LK1115030,business_as_usual,2030,32.897232134563716,False,525,False
LK1115035,business_as_usual,2030,33.84802503317678,False,458,False
LK1115040,business_as_usual,2030,35.21694641233896,False,326,False
LK1115045,business_as_usual,2030,36.84900508954796,False,343,False
LK1115050,business_as_usual,2030,36.27543499055523,False,414,False
LK1115055,business_as_usual,2030,37.45149158644411,False,400,False
LK1115060,business_as_usual,2030,36.827600802701646,False,399,False
LK1115065,business_as_usual,2030,33.36945841742236,False,538,False
LK1115070,business_as_usual,2030,34.09403123868997,False,491,False
LK1115075,business_as_usual,2030,34.25067624008015,False,517,False
LK1115080,business_as_usual,2030,34.94642558550361,False,494,False
LK1115085,business_as_usual,2030,33.823894839432135,False,505,False
LK1115090,business_as_usual,2030,33.081559992215944,False,506,False
LK1115095,business_as_usual,2030,33.284201363737886,False,503,False
LK1115100,business_as_usual,2030,35.428141545951945,False,446,False
LK1115105,business_as_usual,2030,34.950574953590476,False,472,False
LK1115110,business_as_usual,2030,34.90683595071533,False,462,False
LK1115115,business_as_usual,2030,34.37874976336172,False,467,False
LK1115120,business_as_usual,2030,34.135403839631216,False,502,False
LK1115125,business_as_usual,2030,33.36399992478829,False,521,False
LK1115130,business_as_usual,2030,33.71024987196074,False,510,False
LK1115135,business_as_usual,2030,35.11540374493319,False,459,False
LK1115140,business_as_usual,2030,35.840514368017104,False,428,False
LK1115145,business_as_usual,2030,35.335651585914995,False,447,False
LK1115150,business_as_usual,2030,34.3241647427067,False,498,False
LK1115155,business_as_usual,2030,36.847834026381825,False,435,False
LK1115160,business_as_usual,2030,34.73641031554263,False,489,False
LK1115165,business_as_usual,2030,33.015498384299114,False,539,False
LK1115170,business_as_usual,2030,32.53593027907066,False,550,False
LK1115175,business_as_usual,2030,33.128214479554195,False,529,False
LK1115180,business_as_usual,2030,33.35463740641394,False,515,False
LK1115185,business_as_usual,2030,34.50700578002655,False,474,False
LK1115190,business_as_usual,2030,34.12748269438738,False,473,False
LK1115195,business_as_usual,2030,34.63218415866411,False,411,False
LK1115200,business_as_usual,2030,35.05546014423538,False,433,False
LK1115205,business_as_usual,2030,36.364136940334475,False,425,False
LK1115210,business_as_usual,2030,33.92530376483075,False,488,False
LK1115215,business_as_usual,2030,33.65364111726841,False,500,False
LK1115220,business_as_usual,2030,33.374396623689144,False,476,False
LK1115225,business_as_usual,2030,32.94268608313971,False,516,False
LK1115230,business_as_usual,2030,32.31295934183298,False,534,False
LK1115235,business_as_usual,2030,32.36746794933913,False,553,False
LK1115240,business_as_usual,2030,32.4835027955205,False,551,False
LK1115245,business_as_usual,2030,32.92785897281541,False,520,False
LK1115250,business_as_usual,2030,33.2199969088186,False,533,False
LK1115255,business_as_usual,2030,33.317861804454985,False,509,False
LK1115260,business_as_usual,2030,33.212869538812996,False,514,False
LK1115265,business_as_usual,2030,33.28333359317033,False,511,False
LK1115270,business_as_usual,2030,34.012177508135544,False,479,False
LK1115275,business_as_usual,2030,35.38135305384618,False,441,False
LK1115280,business_as_usual,2030,34.24554431309449,False,454,False
LK1115285,business_as_usual,2030,35.62988269075659,False,450,False
LK1115290,business_as_usual,2030,33.03602842597776,False,501,False
LK1115295,business_as_usual,2030,33.05445352634923,False,530,False
LK1115300,business_as_usual,2030,32.84460464054626,False,544,False
LK1115305,business_as_usual,2030,32.06526779554586,False,557,False
LK1115310,business_as_usual,2030,31.808402456192038,False,548,False
LK1115315,business_as_usual,2030,31.926636037453296,False,549,False
LK1115320,business_as_usual,2030,32.48505357569821,False,554,False
LK1115325,business_as_usual,2030,33.46670683487423,False,487,False
LK1115330,business_as_usual,2030,33.98377990422749,False,485,False
LK1115335,business_as_usual,2030,34.754617909390085,False,451,False
LK1115340,business_as_usual,2030,33.41866497596223,False,492,False
LK1118005,business_as_usual,2030,33.06981563464287,False,519,False
LK1118010,business_as_usual,2030,33.30985278539842,False,522,False
LK1118015,business_as_usual,2030,33.19950048785598,False,543,False
LK1118020,business_as_usual,2030,33.08596883245003,False,552,False
LK1118025,business_as_usual,2030,32.206182755369575,False,555,False
LK1118030,business_as_usual,2030,32.67355140944844,False,547,False
LK1118035,business_as_usual,2030,33.26032809276601,False,526,False
LK1118040,business_as_usual,2030,33.319348511910036,False,527,False
LK1118045,business_as_usual,2030,32.673121824976356,False,541,False
LK1118050,business_as_usual,2030,33.068056407288815,False,535,False
LK1118055,business_as_usual,2030,33.25634499799501,False,542,False
LK1118060,business_as_usual,2030,33.90420132615823,False,478,False
LK1118065,business_as_usual,2030,33.95124181528281,False,461,False
LK1118070,business_as_usual,2030,35.76348984843418,False,398,False
LK1118075,business_as_usual,2030,35.70717496963264,False,395,False
LK1118080,business_as_usual,2030,35.98724180312524,False,408,False
LK1118085,business_as_usual,2030,34.8393951342569,False,460,False
LK1118090,business_as_usual,2030,35.901424697737156,False,438,False
LK1118095,business_as_usual,2030,35.1379450469254,False,470,False
LK1118100,business_as_usual,2030,34.16111990487941,False,508,False
LK1118105,business_as_usual,2030,34.08472597445466,False,499,False
LK1118110,business_as_usual,2030,33.67532302012296,False,528,False
LK1118115,business_as_usual,2030,33.39539701733505,False,523,False
LK1118120,business_as_usual,2030,33.29288201503938,False,512,False
LK1118125,business_as_usual,2030,33.983422510563926,False,497,False
LK1118130,business_as_usual,2030,33.99235769518486,False,469,False
LK1118135,business_as_usual,2030,34.951874359828984,False,463,False
LK1118140,business_as_usual,2030,33.577938755889306,False,496,False
LK1118145,business_as_usual,2030,33.542251978723726,False,490,False
LK1118150,business_as_usual,2030,33.68120892441129,False,486,False
LK1118155,business_as_usual,2030,33.88626574111517,False,493,False
LK1118160,business_as_usual,2030,34.14340615487034,False,480,False
LK1118165,business_as_usual,2030,33.75588032002771,False,495,False
LK1118170,business_as_usual,2030,34.07420142721765,False,464,False
LK1118175,business_as_usual,2030,33.35408786483372,False,475,False
LK1118180,business_as_usual,2030,34.17735128115173,False,482,False
LK1118185,business_as_usual,2030,33.404496603615215,False,504,False
LK1118190,business_as_usual,2030,32.81182444774794,False,545,False
LK1118195,business_as_usual,2030,32.87563587466674,False,524,False
LK1118200,business_as_usual,2030,33.294308441121714,False,481,False
LK1118205,business_as_usual,2030,33.13566734270085,False,483,False
LK1118210,business_as_usual,2030,32.860769155968946,False,532,False
LK1118215,business_as_usual,2030,33.44777120006151,False,513,False
LK1118220,business_as_usual,2030,32.629582384312215,False,537,False
LK1118225,business_as_usual,2030,30.823438079743823,False,546,False
LK1118230,business_as_usual,2030,31.10488839932939,False,556,False
LK1121005,business_as_usual,2030,39.460826069978395,False,83,False
LK1121010,business_as_usual,2030,38.143751255076864,False,157,False
LK1121015,business_as_usual,2030,37.783491569184555,False,227,False
LK1121020,business_as_usual,2030,38.092824309850506,False,259,False
LK1121025,business_as_usual,2030,38.66751597985337,False,241,False
LK1121030,business_as_usual,2030,38.02292257248312,False,313,False
LK1121035,business_as_usual,2030,37.32081716240588,False,335,False
LK1121040,business_as_usual,2030,36.64927945603523,False,320,False
LK1121045,business_as_usual,2030,37.472621771650985,False,322,False
LK1121050,business_as_usual,2030,37.83610388858723,False,274,False
LK1121055,business_as_usual,2030,37.695600742624215,False,347,False
LK1121060,business_as_usual,2030,37.86250573759177,False,303,False
LK1121065,business_as_usual,2030,37.8039709645978,False,282,False
LK1121070,business_as_usual,2030,38.13016685848162,False,278,False
LK1121075,business_as_usual,2030,37.2529523746596,False,258,False
LK1121080,business_as_usual,2030,38.617639450253364,False,207,False
LK1121085,business_as_usual,2030,39.24831431575402,False,128,False
LK1121090,business_as_usual,2030,39.33474785622855,False,136,False
LK1121095,business_as_usual,2030,38.46580803509217,False,176,False
LK1121100,business_as_usual,2030,38.60067507200099,False,171,False
LK1121105,business_as_usual,2030,38.64062897444897,False,183,False
LK1121110,business_as_usual,2030,38.45901580992902,False,158,False
LK1121115,business_as_usual,2030,37.88968228952265,False,226,False
LK1121120,business_as_usual,2030,37.84483783501881,False,257,False
LK1121125,business_as_usual,2030,37.99720242109836,False,283,False
LK1121130,business_as_usual,2030,37.965075924937416,False,265,False
LK1121135,business_as_usual,2030,37.56286205349688,False,253,False
LK1121140,business_as_usual,2030,37.190318768247394,False,323,False
LK1121145,business_as_usual,2030,36.950459137124284,False,246,False
LK1121150,business_as_usual,2030,36.57299925486279,False,310,False
LK1121155,business_as_usual,2030,37.90007918139648,False,218,False
LK1121160,business_as_usual,2030,38.65827099906026,False,220,False
LK1121165,business_as_usual,2030,37.75572575262698,False,199,False
LK1121170,business_as_usual,2030,37.217823936758855,False,251,False
LK1121175,business_as_usual,2030,38.63918718166509,False,178,False
LK1121180,business_as_usual,2030,38.48751151763109,False,139,False
LK1121185,business_as_usual,2030,38.30806665922547,False,137,False
LK1121190,business_as_usual,2030,38.52975779266796,False,91,False
LK1121195,business_as_usual,2030,38.9050181575313,False,131,False
LK1121200,business_as_usual,2030,39.20176706436597,False,150,False
LK1121205,business_as_usual,2030,38.619950521014204,False,109,False
LK1124005,business_as_usual,2030,39.51969815610882,False,78,False
LK1124010,business_as_usual,2030,38.049574589663116,False,180,False
LK1124015,business_as_usual,2030,37.792467990091744,False,228,False
LK1124020,business_as_usual,2030,38.87822392269859,False,144,False
LK1124025,business_as_usual,2030,38.96027185229982,False,152,False
LK1124030,business_as_usual,2030,37.12162157569526,False,193,False
LK1124035,business_as_usual,2030,38.24979482290845,False,161,False
LK1124040,business_as_usual,2030,38.195746327325736,False,188,False
LK1124045,business_as_usual,2030,38.10072588441966,False,191,False
LK1124050,business_as_usual,2030,36.91290015019282,False,184,False
LK1124055,business_as_usual,2030,38.79000914044087,False,72,False
LK1124060,business_as_usual,2030,37.82965384698598,False,148,False
LK1124065,business_as_usual,2030,37.791660936229505,False,175,False
LK1124070,business_as_usual,2030,38.401815700292346,False,87,False
LK1124075,business_as_usual,2030,38.44641575269425,False,114,False
LK1124080,business_as_usual,2030,38.71704766870263,False,15,True
LK1124085,business_as_usual,2030,39.05617079916274,False,18,True
LK1124090,business_as_usual,2030,38.92049369148126,False,37,True
LK1124095,business_as_usual,2030,38.79093487818691,False,69,False
LK1124100,business_as_usual,2030,39.0038286210832,False,62,False
LK1127005,business_as_usual,2030,38.83536529723326,False,121,False
LK1127010,business_as_usual,2030,38.586702877215835,False,142,False
LK1127015,business_as_usual,2030,38.281725208219946,False,108,False
LK1127020,business_as_usual,2030,39.8183985510371,False,38,True
LK1127025,business_as_usual,2030,39.70328136710222,False,55,True
LK1127030,business_as_usual,2030,39.75009512199831,False,26,True
LK1127035,business_as_usual,2030,39.45430623623974,False,98,False
LK1127040,business_as_usual,2030,39.40671984998868,False,71,False
LK1127045,business_as_usual,2030,38.9181907370414,False,76,False
LK1127050,business_as_usual,2030,38.03218392009742,False,172,False
LK1127055,business_as_usual,2030,38.465492761448665,False,153,False
LK1127060,business_as_usual,2030,38.93372073620246,False,146,False
LK1127065,business_as_usual,2030,38.95681642921321,False,115,False
LK1127070,business_as_usual,2030,38.833322541203934,False,107,False
LK1127075,business_as_usual,2030,39.46214001309113,False,111,False
LK1127080,business_as_usual,2030,39.498775496914284,False,74,False
LK1127085,business_as_usual,2030,39.809877647210136,False,73,False
LK1127090,business_as_usual,2030,39.683711034790484,False,103,False
LK1127095,business_as_usual,2030,39.88602334508312,False,77,False
LK1127100,business_as_usual,2030,39.71435390833487,False,47,True
LK1130005,business_as_usual,2030,39.8868226859591,False,52,True
LK1130010,business_as_usual,2030,39.53929385257434,False,34,True
LK1130015,business_as_usual,2030,38.623625470609404,False,14,True
LK1130020,business_as_usual,2030,38.70526452256637,False,50,True
LK1130025,business_as_usual,2030,39.18767647113001,False,41,True
LK1130030,business_as_usual,2030,39.90276971580793,False,32,True
LK1130035,business_as_usual,2030,39.81354557621684,False,33,True
LK1130040,business_as_usual,2030,39.38069043233295,False,95,False
LK1130045,business_as_usual,2030,39.78264056848486,False,21,True
LK1130050,business_as_usual,2030,39.559753286901326,False,65,False
LK1130055,business_as_usual,2030,39.409268626939784,False,54,True
LK1130060,business_as_usual,2030,39.28312367867676,False,23,True
LK1130065,business_as_usual,2030,39.37374853034164,False,61,False
LK1130070,business_as_usual,2030,39.452432688206066,False,12,True
LK1130075,business_as_usual,2030,38.45358723862357,False,97,False
LK1131005,business_as_usual,2030,39.01460425140387,False,68,False
LK1131010,business_as_usual,2030,39.43003412072175,False,16,True
LK1131015,business_as_usual,2030,39.459468464806655,False,22,True
LK1131020,business_as_usual,2030,39.150775063147734,False,42,True
LK1131025,business_as_usual,2030,39.06896013671772,False,28,True
LK1131030,business_as_usual,2030,37.342360381536764,False,208,False
LK1131035,business_as_usual,2030,37.90379418699164,False,90,False
LK1131040,business_as_usual,2030,39.02303926749431,False,63,False
LK1131045,business_as_usual,2030,39.18003698065478,False,112,False
LK1131050,business_as_usual,2030,39.018047517696616,False,82,False
LK1131055,business_as_usual,2030,39.13344258263992,False,105,False
LK1131060,business_as_usual,2030,38.831856317362174,False,64,False
LK1131065,business_as_usual,2030,37.77662107258947,False,85,False
LK1133005,business_as_usual,2030,39.20672409872793,False,100,False
LK1133010,business_as_usual,2030,39.17759144501117,False,20,True
