zone_id,name,n_bins,n_hot,n_cold,hot_share,cold_share,final_run,mk_tau,mk_z,mk_p,mk_slope,trend,category,reason,noise_sd,detectable_slope,underpowered,status
LK1133045,Lakshapathiya North,26,21,0,0.8076923076923077,0.0,5,-0.052307692307692305,-0.3526648120179096,0.7243397423849234,-0.009977065479413941,no trend,sporadic_hot_spot,"on and off hot in 81% of bins, never the opposite",0.8243214567437905,0.06631497949675354,False,ok
LK1133050,Lakshapathiya Central,26,14,0,0.5384615384615384,0.0,0,0.052307692307692305,0.3526648120179096,0.7243397423849234,0.022344337943673128,no trend,no_pattern,hot in only 54% of bins and not in the final bin,1.1042540197313442,0.08883498309865313,True,ok
LK1133055,Angulana South,26,10,0,0.38461538461538464,0.0,0,0.08923076923076922,0.6171634210313418,0.537126940170827,0.015311944482608163,no trend,no_pattern,hot in only 38% of bins and not in the final bin,1.0772249790762192,0.08666055191989681,True,ok
LK1133060,Uyana South,26,10,0,0.38461538461538464,0.0,0,-0.15692307692307692,-1.1020775375559675,0.2704279639103757,-0.027630313597067628,no trend,no_pattern,hot in only 38% of bins and not in the final bin,0.9498985087200924,0.07641739713849102,True,ok
LK1133065,Uyana North,26,11,0,0.4230769230769231,0.0,0,0.06461538461538462,0.44083101502238703,0.6593353383597194,0.01602101016241177,no trend,no_pattern,hot in only 42% of bins and not in the final bin,0.9464817539749881,0.07614252618976906,True,ok
LK1133070,Rawathawatta South,26,14,0,0.5384615384615384,0.0,0,-0.04,-0.2644986090134322,0.7913957365052897,-0.009662393309247896,no trend,no_pattern,hot in only 54% of bins and not in the final bin,0.8383529430386683,0.06744378394353989,True,ok
LK1133075,Rawathawatta East,26,17,0,0.6538461538461539,0.0,0,0.003076923076923077,0.0,1.0,8.41313633179593e-05,no trend,no_pattern,hot in only 65% of bins and not in the final bin,0.8285067862492596,0.06665168071697739,True,ok
LK1133080,Lakshapathiya South,26,17,0,0.6538461538461539,0.0,0,0.021538461538461538,0.1322493045067161,0.8947871042097533,0.0022910702009468764,no trend,no_pattern,hot in only 65% of bins and not in the final bin,0.8465821963098903,0.0681058105807093,True,ok
LK1133085,Kuduwamulla,26,4,0,0.15384615384615385,0.0,0,-0.04,-0.2644986090134322,0.7913957365052897,-0.005762652934055971,no trend,no_pattern,hot in only 15% of bins and not in the final bin,0.83560439682096,0.06722266900763467,True,ok
LK1133090,Katubedda,26,14,0,0.5384615384615384,0.0,0,-0.11384615384615385,-0.7934958270402966,0.4274889995990474,-0.0181048717183621,no trend,no_pattern,hot in only 54% of bins and not in the final bin,0.8978887567319592,0.07223331869614581,True,ok
LK1133095,Molpe,26,0,3,0.0,0.11538461538461539,0,-0.09538461538461539,-0.6612465225335805,0.5084542305885602,-0.021594266994330966,no trend,no_pattern,cold in only 12% of bins and not in the final bin,1.2727430232604973,0.10238957969814094,True,ok
LK1133100,Moratumulla North,26,12,0,0.46153846153846156,0.0,0,-0.003076923076923077,0.0,1.0,-0.0015034196843525408,no trend,no_pattern,hot in only 46% of bins and not in the final bin,0.9714079058752183,0.07814778425829766,True,ok
LK1133105,Kadalana,26,9,0,0.34615384615384615,0.0,0,-0.046153846153846156,-0.3085817105156709,0.7576397352113808,-0.013576029200451447,no trend,no_pattern,hot in only 35% of bins and not in the final bin,1.0502223276180562,0.08448824369819947,True,ok
LK1133110,Rawathawatta West,26,18,0,0.6923076923076923,0.0,0,-0.11384615384615385,-0.7934958270402966,0.4274889995990474,-0.019166067889873073,no trend,no_pattern,hot in only 69% of bins and not in the final bin,0.8470696023717064,0.06814502140402524,True,ok
LK1133115,Idama,26,13,0,0.5,0.0,0,-0.13230769230769232,-0.9257451315470128,0.3545784475977316,-0.03025174565344831,no trend,no_pattern,hot in only 50% of bins and not in the final bin,1.0175732981543786,0.08186169588513481,True,ok
