zone_id,wetland_within_pct,adjacent_within_250m,adjacent_within_500m,adjacent_within_1000m,adjacent_queen,wetland_status,wetland_policy_flag,adjacency_disagreement,dw_flooded_vegetation_pct,worldcover_wetland_pct,gsw_seasonal_pct,wdpa_pct,wetland_sources
LK1121160,0.0,False,False,False,False,neither,False,False,0.0,0.0,0.0,0.0,
LK1121165,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1121170,0.04072075740608775,True,True,True,False,adjacent,True,True,0.0,0.04072075740608775,0.0,0.0,
LK1121175,0.0,True,True,True,False,adjacent,True,True,0.0,0.0,0.0,0.0,
LK1121180,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1121185,4.2725961903316385,False,False,False,False,within,True,False,0.7437201183881005,1.8593002959702511,3.688244668740988,0.0,worldcover_wetland;gsw_seasonal
LK1121190,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1121195,0.0,True,True,True,True,adjacent,True,False,0.0,0.0,0.0,0.0,
LK1121200,1.907992368030528,False,False,False,False,within,True,False,0.0,0.0,1.907992368030528,0.0,gsw_seasonal
LK1121205,4.616030214015947,False,False,False,False,within,True,False,0.0,0.06993985172751434,4.616030214015947,0.0,gsw_seasonal
LK1124005,2.885973763874874,False,False,False,False,within,True,False,1.0696266397578205,0.060544904137235116,1.7558022199798184,0.0,dw_flooded_vegetation;gsw_seasonal
LK1124010,2.071563088512241,False,False,False,False,within,True,False,0.12106537530266344,0.9416195856873822,1.089588377723971,0.0,gsw_seasonal
LK1124015,3.5751254080738915,False,False,False,False,within,True,False,0.01592483477983916,1.2023250258778566,2.3409507126363565,0.13536109562863285,worldcover_wetland;gsw_seasonal
LK1124020,11.158342189160468,False,False,False,False,within,True,False,0.0,0.0,0.0,11.158342189160468,wdpa
LK1124025,0.07896814951302975,True,True,True,True,adjacent,True,False,0.0,0.07896814951302975,0.0,0.0,
LK1124030,3.1229478292593944,False,False,False,False,within,True,False,0.10215249908792412,2.0941262313024445,1.3790587376869756,0.0,worldcover_wetland;gsw_seasonal
