zone_id,value,spatial_lag,local_i,z_score,p_norm,p_sim,p_adjusted,significant,quadrant,cluster
LK1106205,37.174210899049285,38.29008224840413,0.010473258914655297,1.0359892379860824,0.3002071633147615,0.159,0.21600731707317072,False,1,ns
LK1106210,38.30200451782345,38.814314517813685,0.2726614244336735,1.2253644156051182,0.22043794801720562,0.119,0.17675466666666667,False,1,ns
LK1106215,40.10829316136331,39.97055783940803,1.1494216138919564,2.7431254568117063,0.006085742958826205,0.002,0.008841269841269843,True,1,HH
LK1106220,36.12458702970179,37.44977455707941,-0.0449813515126661,-0.27091838236184906,0.7864538064865128,0.403,0.43502131782945735,False,2,ns
LK1106225,40.03123979595452,38.7223464218556,0.6315700662949495,1.1678680203027552,0.24286000551962172,0.131,0.1885452196382429,False,1,ns
LK1106230,41.33678575893938,39.673712153873815,1.4520622034327904,2.0993977721615886,0.03578185092740746,0.016,0.04014414414414415,True,1,HH
LK1109005,36.29954864440793,36.88082636791981,0.024580839070386013,0.16823791911349475,0.8663961109290661,0.438,0.4603132075471698,False,3,ns
LK1109010,36.67120812601166,36.66812957346994,0.025714625530414977,0.2628167254222016,0.7926918435691952,0.39,0.4261976516634051,False,3,ns
LK1109015,37.15367814638393,36.88281989432269,-0.0013763774965267251,-0.16609196047079763,0.8680845808970957,0.44,0.46067669172932335,False,4,ns
LK1109020,37.15821434930609,36.28144951467302,-0.005553817968630118,-0.6815707506133212,0.4955104152778428,0.262,0.317767895878525,False,4,ns
LK1109025,35.59439246122009,36.30922208854749,0.16181186744991133,0.5810737011486068,0.5611907823567354,0.271,0.32531681034482757,False,3,ns
LK1109030,36.113706035216495,35.61027200877476,0.19930486598743924,0.7050384547737313,0.48078630538461586,0.242,0.30222869955156945,False,3,ns
LK1109035,35.62615155632943,35.99103601751166,0.22151988938792394,0.8100319452799115,0.4179218158210405,0.214,0.27464976958525344,False,3,ns
LK1109040,35.91722916027211,35.68547139451458,0.22670383452065557,1.3055898629474416,0.19169206946153539,0.1,0.15472222222222223,False,3,ns
LK1109045,36.338816413337945,35.85651164870906,0.12883342551913757,1.151109069816001,0.24968736715007944,0.125,0.1841931216931217,False,3,ns
LK1109050,35.16966538006808,36.58028573001441,0.1368990654848131,0.38654144761153275,0.6990957125163484,0.338,0.3842163265306123,False,3,ns
LK1109055,37.15069517235503,36.419259683213,-0.003934744685528897,-0.6906180148955818,0.4898056233316044,0.263,0.317767895878525,False,4,ns
LK1109060,36.55116192961796,37.22625854241684,-0.008812530305324228,-0.1082769875850157,0.9137759765270234,0.443,0.4620805243445693,False,2,ns
LK1109065,37.97709182284389,37.5736537287754,0.054160220726985835,0.388249548920238,0.6978313686361641,0.341,0.3860508130081301,False,1,ns
LK1109070,37.72198454029979,37.170563655743095,0.0051401765028475785,0.042274978194642196,0.9662794919572301,0.486,0.48775135135135134,False,1,ns
LK1109075,35.506696451756575,36.36402337881209,0.15944253979039044,0.6167512136020257,0.537398835498946,0.284,0.33585562632696386,False,3,ns
LK1109080,35.673416985058566,35.5852075350158,0.2923717236897078,1.792119969586833,0.07311375069916447,0.038,0.07753113553113554,False,3,ns
LK1109085,35.17547746932142,35.11620509281971,0.5151537977066025,1.4386983196355525,0.1502360156459499,0.083,0.13677810650887576,False,3,ns
LK1109090,34.69531785975081,35.475030418749604,0.5272856518533872,1.3408265664796415,0.1799767686049064,0.095,0.149056338028169,False,3,ns
LK1109095,36.603648083289286,35.37082934489692,0.1172599220358051,1.0609743008584154,0.2887015804867986,0.15,0.20783582089552238,False,3,ns
LK1109100,34.178856366197365,35.10163630941611,0.7865337856030477,1.825034743176798,0.06799578658190691,0.033,0.06858582089552238,False,3,ns
LK1109105,34.6199174184622,34.92778737486385,0.7259902241507348,1.7819228036190151,0.07476182129505612,0.038,0.07753113553113554,False,3,ns
LK1109110,34.87744258028312,34.997221373699126,0.6301202773696161,1.7248672340147482,0.08455140169809745,0.043,0.08463250883392225,False,3,ns
LK1109115,36.8046639341048,35.433565551919116,0.0679783476330338,1.3654381407602174,0.1721153830740204,0.088,0.14166473988439307,False,3,ns
LK1109120,35.397348118256545,36.079069086092034,0.23556869320388663,1.1501706250880386,0.25007360238094656,0.114,0.17023592493297587,False,3,ns
LK1109125,36.793992684285534,36.7076863812501,0.0168238420644002,0.33284202410475805,0.7392535344400679,0.374,0.416636,False,3,ns
LK1109130,37.37987666961303,37.40395831279638,0.010768127574794003,0.257051793626572,0.7971387904628563,0.391,0.4261976516634051,False,1,ns
LK1109135,37.66108846177737,37.66368431088356,0.04113137808689665,0.4422472893495831,0.658310269409311,0.331,0.3785770020533881,False,1,ns
LK1109140,38.24141240821613,37.98884934382145,0.1336121750568993,0.7063929359338164,0.4799438126488532,0.244,0.3026904231625835,False,1,ns
LK1109145,37.77633424336738,38.058414288236094,0.08500826127425708,0.8200735977850409,0.4121741523483856,0.217,0.2772224770642202,False,1,ns
LK1109150,39.292753475480495,38.84334545310834,0.5073976742363068,1.7758412354765378,0.07575908897865559,0.04,0.08043321299638989,False,1,ns
LK1109155,38.68987536288029,38.69426679305895,0.33582091183986923,1.390039654866544,0.1645168360269479,0.083,0.13677810650887576,False,1,ns
LK1109160,38.1174046709474,38.084972692758825,0.13197880241421706,0.8465222207735653,0.39726148316262877,0.212,0.2727113163972286,False,1,ns
LK1109165,36.26615095752849,37.4518639906347,-0.038741681088361214,-0.24223530388585465,0.8085978409338808,0.398,0.43298046875,False,2,ns
LK1109170,38.114679662822745,38.51528045942348,0.18959616724545386,1.4363603058476984,0.15089984204432785,0.081,0.1346776119402985,False,1,ns
LK1109175,40.54996076120187,39.30388261720148,1.0115240135191852,1.5749618919054817,0.11526524104312638,0.059,0.1070456026058632,False,1,ns
LK1109180,41.11822196762238,38.62684900163348,0.8151613350057731,1.4404597316077266,0.14973737488238453,0.08,0.13381381381381383,False,1,ns
LK1109185,37.568191145574765,38.54576742947462,0.08854828878994775,1.2606770005333623,0.2074252436477434,0.104,0.15914285714285714,False,1,ns
LK1109190,36.94370641037737,37.42509661348699,-0.006972476433086977,-0.28136690304014345,0.7784290006623249,0.379,0.41885515873015877,False,2,ns
LK1109195,37.53252612632452,36.294762738192546,-0.046204198569859155,-0.7478904663055113,0.454526228536248,0.23,0.28853603603603606,False,4,ns
LK1109200,35.92613831101505,35.398513833201434,0.2703967687391781,1.3939710449058067,0.16332634855080586,0.088,0.14166473988439307,False,3,ns
LK1109205,35.55784864028219,35.63822372662284,0.3049258177015603,1.4379795406903395,0.15043985925840794,0.072,0.125717868338558,False,3,ns
LK1109210,35.58971481372559,35.8793840215565,0.24965422470067136,1.122049986378971,0.26184118709238624,0.129,0.1876057441253264,False,3,ns
LK1109215,35.349070570747834,36.156131464688315,0.22407599668663045,0.779445417279258,0.4357173787364982,0.223,0.2816575963718821,False,3,ns
LK1109220,35.65097024258624,36.32100288394722,0.15346621021783516,0.781829410916855,0.434314834009074,0.228,0.28732126696832583,False,3,ns
LK1109225,37.19731814366613,36.60203140070923,-0.006047737374237914,-0.4743614675086405,0.6352421657322135,0.323,0.37171694214876033,False,4,ns
LK1109230,36.36441652237236,37.73248438317391,-0.06214615927597877,-0.5337513321996181,0.593513589190936,0.298,0.34797903563941296,False,2,ns
LK1109235,38.02845110803793,38.36515649435876,0.15486276469045748,1.2835396476264067,0.19930307847686324,0.113,0.1701108108108108,False,1,ns
LK1109240,41.60967503874093,38.500246339517716,0.838785018679495,0.7481458483877956,0.4543721898392692,0.238,0.29790112359550563,False,1,ns
LK1109245,38.11513737196217,38.901893908382874,0.24179295277945112,1.5783489584600054,0.11448546426616793,0.065,0.11530254777070063,False,1,ns
LK1109250,39.64913739247251,38.29773757914744,0.40461192074114344,0.8528058655931955,0.39376697061658983,0.207,0.26876223776223773,False,1,ns
LK1109255,39.34841533421722,38.543654712033685,0.4304653743345455,1.2623141565226226,0.20683576468742293,0.108,0.16436065573770492,False,1,ns
