zone_id,value,gi_z,p_norm,p_sim,p_adjusted,significant,confidence_class
LK1109175,41.69105037122142,1.9416944812308001,0.0521740972096878,0.092,0.14557954545454546,False,ns
LK1109180,40.82885694021493,1.697787465553266,0.08954788248430919,0.104,0.16091111111111112,False,ns
LK1109185,37.94218640059886,0.7665717278675955,0.4433361902611571,0.237,0.3025522727272727,False,ns
LK1109190,37.24668742468158,-0.03326752070319843,0.9734612541402246,0.467,0.47640842490842494,False,ns
LK1109195,37.29970236856403,-0.8537210756968922,0.39325955368133836,0.188,0.2529371980676328,False,ns
LK1109200,36.77871893676154,-1.3275068877257,0.18434106303055142,0.092,0.14557954545454546,False,ns
LK1109205,36.522129422323935,-1.5498024074221184,0.12118894904269478,0.067,0.11662187500000001,False,ns
LK1109210,35.97892973908278,-1.3073605388175584,0.1910902926602076,0.127,0.19015860215053765,False,ns
LK1109215,36.21921415146664,-1.1723898598600009,0.24104056874912727,0.16,0.22619289340101523,False,ns
LK1109220,36.39099321851384,-1.2284432297113248,0.2192806281827443,0.13,0.1930933333333333,False,ns
LK1109225,37.39692040168635,-0.8004720800794566,0.4234373335963927,0.198,0.2644748201438849,False,ns
LK1109230,36.45919978212542,-0.14913635497164685,0.8814460395378594,0.472,0.4780072727272727,False,ns
LK1109235,37.66027895421567,0.5381342959553485,0.590484336722569,0.286,0.3367906976744186,False,ns
LK1109240,40.39259966011814,0.7672586688105374,0.44292773699534904,0.385,0.4213064833005894,False,ns
LK1109245,37.76920995190691,1.0995738283046013,0.2715178502807073,0.151,0.2162133676092545,False,ns
LK1109250,39.54807897202781,0.7372511186736348,0.46096965211134444,0.317,0.36481198347107435,False,ns
LK1109255,39.82486546543326,1.093946754615075,0.2739783313381481,0.216,0.2797953488372093,False,ns
LK1109260,37.821922372378125,1.3383317951890228,0.18078830156259074,0.085,0.1384356725146199,False,ns
LK1109265,38.23269312759183,0.7447817107391735,0.45640369303770634,0.251,0.3099933481152993,False,ns
LK1109270,38.6622442300438,0.4989876015270627,0.6177881185837771,0.351,0.3925843373493975,False,ns
LK1109275,37.5079767924502,-0.6633670123674974,0.5070955276394165,0.243,0.3041595505617978,False,ns
LK1109280,36.01134385158971,-1.1021917280025215,0.27037832743711876,0.176,0.2420543209876543,False,ns
LK1109285,36.27042270533042,-1.3687053561756026,0.17109139537047435,0.099,0.15403072625698325,False,ns
LK1112005,36.12464799513744,-2.211097200289931,0.027029106794978584,0.012,0.031528301886792454,True,cold_95
LK1112010,36.05952887489516,-1.3308773045785696,0.18322938609507566,0.147,0.21322656249999997,False,ns
LK1112015,35.01948857272764,-1.9172676170414247,0.05520394170764923,0.049,0.09283333333333334,False,cold_90
LK1112020,35.8160289476352,-1.9432668257683938,0.05198392757102448,0.037,0.07494181818181818,False,cold_90
LK1112025,35.34467128605419,-2.1457565269083716,0.031892408696896496,0.023,0.052077235772357726,False,cold_90
LK1112030,35.85111692155066,-2.15885120117261,0.030861712760629087,0.014,0.035445454545454544,True,cold_95
LK1112035,36.064047485434806,-1.9431677264556264,0.05199589614601382,0.029,0.061888888888888896,False,cold_90
LK1112040,36.16776609487744,-1.7678477926992324,0.07708635261269278,0.046,0.08896527777777778,False,cold_90
LK1112045,35.702386172229474,-2.592918512794664,0.00951653157591334,0.004,0.014374193548387098,True,cold_95
LK1112050,35.698359189321295,-1.4841273610852823,0.13777513574406197,0.091,0.14482,False,ns
LK1112055,35.510489121549455,-1.565807268080674,0.11739374420136164,0.085,0.1384356725146199,False,ns
LK1112060,36.25051676985437,-1.6454713795988671,0.09987264009530267,0.061,0.11031493506493506,False,ns
LK1112065,35.008814236812576,-1.7396683365637453,0.08191727225698148,0.068,0.11762732919254659,False,ns
LK1112070,36.469655492662014,-2.143991895565141,0.03203353616348423,0.017,0.0408146551724138,True,cold_95
LK1112075,35.15684897078398,-1.938476762438801,0.05256508317597099,0.042,0.08266431095406361,False,cold_90
LK1112080,35.31842958255032,-2.5278201362546664,0.01147731335592265,0.008,0.02345263157894737,True,cold_95
LK1112085,35.65494696499079,-2.246992589570528,0.024640500707243433,0.014,0.035445454545454544,True,cold_95
LK1112090,35.72622577392756,-1.9482192510047909,0.05138873429229773,0.038,0.0764115523465704,False,cold_90
LK1112095,36.10689583861476,-1.5599758017178582,0.11876559970464579,0.079,0.13214114114114114,False,ns
LK1112100,35.97704581024689,-1.4867025571316652,0.1370933870371079,0.089,0.14286167146974063,False,ns
LK1112105,37.46181023056461,-1.3623929440034042,0.17307390934523847,0.081,0.13427678571428572,False,ns
LK1112110,37.112492187846335,-1.1575359907480212,0.24705344372435545,0.116,0.1770191780821918,False,ns
LK1112115,35.45557491516515,-1.116321360593531,0.2642846014322744,0.209,0.2732699530516432,False,ns
LK1112120,36.49419206969624,-1.0470073169638245,0.295096203527042,0.164,0.2289423558897243,False,ns
LK1112125,36.50347954520086,-0.4631443779008628,0.6432608822879811,0.397,0.42937669902912623,False,ns
LK1112130,37.73678865729336,-0.20807900020230882,0.8351672837072148,0.423,0.44538941398865783,False,ns
LK1112135,37.99304498083681,-0.8766851711618454,0.38065766334047113,0.162,0.22786363636363638,False,ns
LK1112140,36.54196634205781,-0.8185051359232168,0.4130688105901812,0.251,0.3099933481152993,False,ns
LK1112145,37.27021606121325,-1.0651273235457492,0.28681831608748676,0.138,0.201748031496063,False,ns
LK1112150,36.36143017569079,-1.6114884903016813,0.10707329385263449,0.066,0.11560377358490566,False,ns
LK1112155,36.57604245529836,-1.810061313423163,0.0702862794684972,0.031,0.06418959107806692,False,cold_90
LK1112160,35.691481673683924,-2.000142081544812,0.045484923836196546,0.026,0.05635019455252918,False,cold_90
LK1112165,35.14926904245392,-2.9303926516658283,0.0033853393823593814,0.002,0.009858407079646019,True,cold_99
LK1112170,35.15153288622006,-2.8977883952399974,0.003758040491568488,0.002,0.009858407079646019,True,cold_99
LK1112175,35.37361025773184,-1.846016678456831,0.06488978377200931,0.054,0.10026,False,ns
LK1112180,35.7755049960589,-2.1424525385455278,0.03215708399178621,0.015,0.03713333333333334,True,cold_95
LK1112185,35.18615349871507,-1.5820166789175358,0.11364576296436149,0.093,0.14674504249291787,False,ns
LK1112190,36.820342474720526,-1.4926654766586924,0.13552477459597825,0.071,0.12205864197530863,False,ns
LK1112195,37.9797170279518,-0.3697193028502795,0.7115916477600471,0.334,0.37659514170040487,False,ns
LK1112200,36.25849921442518,-1.1203093132152606,0.26258197471075995,0.156,0.2228,False,ns
LK1112205,37.15717952280133,-0.9018283176669869,0.36714807457913745,0.181,0.24649633251833739,False,ns
LK1112210,37.28842428983225,-0.7221812275257108,0.47018306335391447,0.235,0.30090804597701143,False,ns
LK1112215,36.938349013050974,-0.6485754164338854,0.5166128497076994,0.286,0.3367906976744186,False,ns
LK1112220,37.36317337257811,-0.663558948920843,0.5069726385853034,0.258,0.3165330396475771,False,ns
LK1112225,36.89690519712178,-0.8706880017672035,0.38392453143712646,0.214,0.279152224824356,False,ns
LK1112230,37.15940180690368,-0.543759573330047,0.5866069314739352,0.33,0.37283975659229207,False,ns
LK1112235,41.291902653140816,0.8199504487649584,0.4122443555526948,0.439,0.4553500931098696,False,ns
LK1112240,37.869820975811685,-0.27565677846680803,0.7828116955729456,0.386,0.4215725490196079,False,ns
LK1112245,36.12438338438128,-1.3183181713252807,0.18739716048061716,0.117,0.17805737704918032,False,ns
LK1112250,35.34212461319049,-2.0228078817391357,0.043092958760835784,0.026,0.05635019455252918,False,cold_90
LK1112255,35.271185827730115,-1.6673030002381717,0.09545417037829133,0.082,0.13553115727002968,False,ns
