zone_id,gi_star_hot_rank,lst_2020s_rank,ndvi_inverse_rank,score,rank,priority
LK1133150,0.7468581687612208,0.8563734290843806,0.7917414721723519,0.7996409335727109,116,False
LK1103120,0.7540394973070018,0.7342908438061041,0.9946140035906643,0.7942549371633753,117,False
LK1106130,0.770197486535009,0.8671454219030521,0.6929982046678635,0.7935368043087973,118,False
LK1106190,0.8491921005385996,0.7899461400359067,0.6876122082585279,0.7931777378815081,119,False
LK1106125,0.7073608617594255,0.8635547576301615,0.8168761220825853,0.791741472172352,120,False
LK1127005,0.7307001795332136,0.7522441651705566,0.9838420107719928,0.7899461400359068,121,False
LK1106010,0.703770197486535,0.7791741472172352,0.9730700179533214,0.7877917414721725,122,False
LK1133125,0.725314183123878,0.7863554757630161,0.9030520646319569,0.785278276481149,123,False
LK1133160,0.7271095152603232,0.800718132854578,0.8671454219030521,0.784560143626571,124,False
LK1136005,0.7755834829443446,0.7971274685816876,0.7612208258527827,0.7813285457809696,125,False
LK1109175,0.755834829443447,0.8707360861759426,0.644524236983842,0.7795332136445243,126,False
LK1103135,0.7378815080789947,0.7378815080789947,0.9443447037701975,0.7791741472172352,127,False
LK1121085,0.7109515260323159,0.8940754039497307,0.6822262118491921,0.7784560143626572,128,False
LK1133085,0.8276481149012568,0.7809694793536804,0.6714542190305206,0.7777378815080791,129,False
LK1133090,0.9640933572710951,0.6912028725314183,0.5745062836624776,0.777019748653501,130,False
LK1121195,0.7791741472172352,0.8114901256732495,0.7001795332136446,0.7763016157989229,131,False
LK1133120,0.7522441651705566,0.7396768402154399,0.8779174147217235,0.7723518850987433,132,False
LK1103015,0.7217235188509874,0.7504488330341114,0.9138240574506283,0.7716337522441652,133,False
LK1106115,0.7971274685816876,0.7073608617594255,0.8473967684021544,0.7712746858168762,134,False
LK1103005,0.6104129263913824,0.8456014362657092,0.9389587073608617,0.7701974865350091,135,False
LK1121090,0.8150807899461401,0.8078994614003591,0.6050269299820467,0.770197486535009,136,False
LK1121185,0.800718132854578,0.7540394973070018,0.7235188509874326,0.7666068222621185,137,False
LK1136010,0.7737881508078994,0.7630161579892281,0.7522441651705566,0.7651705565529623,138,False
LK1121180,0.7235188509874326,0.822262118491921,0.7307001795332136,0.7644524236983842,139,False
LK1133165,0.651705565529623,0.7719928186714542,0.9694793536804309,0.7633752244165171,140,False
LK1106120,0.7827648114901257,0.7468581687612208,0.755834829443447,0.7630161579892281,141,False
LK1127010,0.7163375224416517,0.7127468581687613,0.947935368043088,0.7612208258527828,142,False
LK1106100,0.7719928186714542,0.6768402154398564,0.9066427289048474,0.7608617594254937,143,False
LK1124020,0.6822262118491921,0.8043087971274686,0.8258527827648114,0.7597845601436267,144,False
LK1133170,0.6328545780969479,0.7953321364452424,0.9228007181328546,0.755834829443447,145,False
LK1127060,0.77737881508079,0.7091561938958707,0.7953321364452424,0.7536804308797128,146,False
LK1103010,0.6804308797127468,0.7576301615798923,0.8886894075403949,0.7529622980251347,147,False
LK1124060,0.8384201077199281,0.7360861759425493,0.6157989228007181,0.7529622980251347,148,False
LK1133095,0.6983842010771992,0.8025134649910234,0.7073608617594255,0.7418312387791742,149,False
LK1121200,0.7845601436265709,0.703770197486535,0.7271095152603232,0.7407540394973071,150,False
LK1103175,0.7289048473967684,0.6570915619389587,0.9245960502692998,0.7393177737881509,151,False
LK1124025,0.7450628366247756,0.7199281867145422,0.7648114901256733,0.7389587073608619,152,False
LK1127055,0.7324955116696589,0.7217235188509874,0.7468581687612208,0.7310592459605028,153,False
LK1106090,0.7881508078994613,0.7324955116696589,0.6032315978456014,0.7289048473967685,154,False
LK1103020,0.6929982046678635,0.6750448833034112,0.9084380610412927,0.7289048473967684,155,False
