level,epoch,variable,status,n,n_missing,morans_i,expectation,z_norm,p_norm,z_sim,p_sim,permutations
ds,2020s,NDBI,ok,13,,0.5940534936813828,-0.08333333333333333,3.771974988427978,0.00016196049419367885,3.517228163030193,0.002,999
ds,2020s,built_fraction,ok,13,,0.6822691184432467,-0.08333333333333333,4.263196720118176,2.015229551980844e-05,4.04270972301861,0.001,999
ds,2020s,pop_density,ok,13,,0.5105116121582599,-0.08333333333333333,3.306778626431722,0.0009437544216319152,3.331170294782448,0.002,999
ds,2020s,elevation_m,ok,13,,0.5652563202791493,-0.08333333333333333,3.6116202051952526,0.00030428998241049905,4.04938039446999,0.001,999
ds,2020s,dist_coast_km,ok,13,,0.527527097063272,-0.08333333333333333,3.4015280087905926,0.0006701026142487013,3.279055635463358,0.003,999
gn,2000s,LST_C,ok,557,,0.8342284710178447,-0.0017985611510791368,31.584249729894708,6.075534698562168e-219,31.837648626445123,0.001,999
gn,2000s,NDVI,ok,557,,0.8824356738396932,-0.0017985611510791368,33.40546875047454,1.1418918200732311e-244,34.25099877704734,0.001,999
gn,2000s,NDBI,ok,557,,0.8291357703104868,-0.0017985611510791368,31.39185268440264,2.613840665280647e-216,31.888732612739133,0.001,999
gn,2000s,built_fraction,ok,557,,0.893090023302396,-0.0017985611510791368,33.807979221058915,1.5055865295586354e-250,34.8956032598712,0.001,999
gn,2000s,pop_density,ok,557,,0.8420497589642046,-0.0017985611510791368,31.879730022040732,5.0994838285454556e-223,33.0629143913459,0.001,999
gn,2000s,elevation_m,ok,557,,0.8163699741864183,-0.0017985611510791368,30.90957390959141,8.88254942670439e-210,30.92119905114292,0.001,999
gn,2000s,dist_coast_km,ok,557,,0.9515326705659153,-0.0017985611510791368,36.01588290720931,4.7196506752924196e-284,37.20596270567355,0.001,999
gn,2010s,LST_C,ok,557,,0.862792115484486,-0.0017985611510791368,32.663355123998805,5.178666057747012e-234,33.12200163093323,0.001,999
gn,2010s,NDVI,ok,557,,0.9221855402743646,-0.0017985611510791368,34.9071782166691,5.785596502672779e-267,35.66514342651193,0.001,999
gn,2010s,NDBI,ok,557,,0.8725938963622357,-0.0017985611510791368,33.033656421837705,2.6707953935414143e-239,33.758151584640814,0.001,999
gn,2010s,built_fraction,ok,557,,0.8990464779740401,-0.0017985611510791368,34.03300801153467,7.241386652467302e-254,35.15675238603876,0.001,999
gn,2010s,pop_density,ok,557,,0.8420497589642046,-0.0017985611510791368,31.879730022040732,5.0994838285454556e-223,33.0629143913459,0.001,999
gn,2010s,elevation_m,ok,557,,0.8163699741864183,-0.0017985611510791368,30.90957390959141,8.88254942670439e-210,30.92119905114292,0.001,999
gn,2010s,dist_coast_km,ok,557,,0.9515326705659153,-0.0017985611510791368,36.01588290720931,4.7196506752924196e-284,37.20596270567355,0.001,999
gn,2020s,LST_C,ok,557,,0.885232168862638,-0.0017985611510791368,33.511117484037555,3.319712750434778e-246,34.411148814945584,0.001,999
gn,2020s,NDVI,ok,557,,0.912699195231679,-0.0017985611510791368,34.54879376338794,1.4860684206900743e-261,35.20311674711273,0.001,999
gn,2020s,NDBI,ok,557,,0.8865655939959997,-0.0017985611510791368,33.56149292739966,6.119972788471812e-247,34.76940925493535,0.001,999
gn,2020s,built_fraction,ok,557,,0.8944501178139592,-0.0017985611510791368,33.859362206365056,2.6426351404368726e-251,35.13901481057066,0.001,999
gn,2020s,pop_density,ok,557,,0.8420497589642046,-0.0017985611510791368,31.879730022040732,5.0994838285454556e-223,33.0629143913459,0.001,999
gn,2020s,elevation_m,ok,557,,0.8163699741864183,-0.0017985611510791368,30.90957390959141,8.88254942670439e-210,30.92119905114292,0.001,999
gn,2020s,dist_coast_km,ok,557,,0.9515326705659153,-0.0017985611510791368,36.01588290720931,4.7196506752924196e-284,37.20596270567355,0.001,999
