zone_id,beta_intercept,t_intercept,sig_intercept,beta_NDVI,t_NDVI,sig_NDVI,beta_NDBI,t_NDBI,sig_NDBI,beta_built_fraction,t_built_fraction,sig_built_fraction,beta_pop_density,t_pop_density,sig_pop_density,beta_elevation_m,t_elevation_m,sig_elevation_m,beta_dist_coast_km,t_dist_coast_km,sig_dist_coast_km,local_r2
LK1118070,-0.0636481345851225,-1.8991181767864362,False,0.17820370797069365,2.5275899171364475,False,0.5340416534561735,5.5905403374250975,True,0.32716630626842014,8.541677503964065,True,0.0011813261549318743,0.04266631776940581,False,-0.026040896891372983,-0.571639648913414,False,-0.12547480452182677,-5.180674853074855,True,
LK1118075,-0.06365906733736501,-1.8984066233024723,False,0.17938482111402929,2.5464473148940194,False,0.5072973452541253,5.271403423347186,True,0.32663652354548073,8.527150477788744,True,0.0011426991578580622,0.04131401363968326,False,0.0009930897064111006,0.020600324635582843,False,-0.1290676216327003,-5.32592630401979,True,
LK1118080,-0.06365088670446274,-1.8978461699243423,False,0.18036120384255355,2.5621567227731883,False,0.4968412478668947,5.072036330496822,True,0.32622347000837887,8.516397902047986,True,0.0006773079778500298,0.024515647686500025,False,0.026960156645889157,0.578770626767514,False,-0.12352527769457287,-5.171008509502325,True,
LK1118085,-0.06365385341198432,-1.8967717658736054,False,0.1816846685241085,2.58303371094462,False,0.5282650745757463,5.3995803688834485,True,0.3259163196006966,8.507770432406195,True,0.000920566821330286,0.03334041582676538,False,0.02965958922446509,0.5552094693546402,False,-0.1326052384742437,-5.492252391224898,True,
LK1118090,-0.0636599917187139,-1.8969079212808397,False,0.1807819495376467,2.5683232338339796,False,0.6105229863086636,6.259973304813629,True,0.32653853186593496,8.524228157823826,True,0.0016640310160343558,0.060193977716548594,False,-0.04143580231602033,-0.8774582096147249,False,-0.13562300858752963,-5.5770854168006,True,
LK1118095,-0.06365607084893615,-1.8989950615969808,False,0.1783099592652685,2.5291391449977585,False,0.5768301210450146,5.954788260921663,True,0.3271074687167966,8.539605886066463,True,0.001484350792950982,0.053593186597962125,False,-0.040558657135830865,-0.9202693485329223,False,-0.1297754115679238,-5.353610406044018,True,
LK1118100,-0.06366377002981631,-1.898504927244843,False,0.17874640746841425,2.5357231850091804,False,0.6429883721730616,6.32739475446542,True,0.32724285934764014,8.542962932826178,True,0.0019175481419153916,0.06922392292519786,False,-0.08390490990299779,-2.3344542199332525,False,-0.13381263367789498,-5.5206425840801305,True,
LK1118105,-0.06364846925899868,-1.899317099010833,False,0.1775732234179503,2.517147795179598,False,0.6449439644317121,6.492236557339477,True,0.32735369037405615,8.545568634779809,True,0.0017615348001809245,0.06352626657875723,False,-0.08746403074304288,-2.3228000649073928,False,-0.13033891562871353,-5.402550839456505,True,
LK1118110,-0.06361663625250842,-1.8995726419298542,False,0.1765129546710331,2.5001957410230755,False,0.6762160468772243,6.963633591097446,True,0.3278176820719005,8.558214855453592,True,0.0017563131667396726,0.06325450584376008,False,-0.11221366769646773,-3.154169225100623,True,-0.1274257723045517,-5.320275794629146,True,
LK1118115,-0.06364721148170016,-1.8989665310695232,False,0.17749353099043463,2.5152276982519592,False,0.697167488357854,7.214339736123439,True,0.327767291659856,8.55596463492553,True,0.0025359015070926774,0.09131894493436601,False,-0.12393166179918633,-4.002318262313202,True,-0.13472706300101353,-5.594676994696908,True,
LK1118120,-0.06366642070355243,-1.8973796163407886,False,0.1798877502241703,2.5534374460427367,False,0.6784254350295833,6.789162174058473,True,0.32698552938133063,8.534883589752155,True,0.0025916755201896356,0.09354852750866292,False,-0.11186063015988514,-3.020655692665991,True,-0.1371477309977344,-5.666535987418843,True,
LK1118125,-0.06365049199452728,-1.8949566096212636,False,0.18338051605979294,2.6090145335296273,False,0.680835650088317,6.858681372435299,True,0.32608859823572284,8.510844489429402,True,0.0023173606367542583,0.08386955196193284,False,-0.10590251420882743,-1.9452547355906114,False,-0.13823653773727257,-5.709908240654362,True,
LK1118130,-0.06362375711420566,-1.8927813501144244,False,0.18646488295235839,2.6579026870218865,False,0.6942868380176339,7.032438264668648,True,0.3253502940420589,8.490448962704018,True,0.0022694268012352064,0.08225406168692657,False,-0.10472673571387234,-1.3297000640629684,False,-0.13875454930322295,-5.746113625284927,True,
LK1118135,-0.06364037178847563,-1.895361839594376,False,0.18284036044275534,2.6012270516211786,False,0.5910741190064323,5.839212027061823,True,0.32592369636475804,8.508207676132127,True,0.0012850478903697728,0.04655479494322332,False,-0.034491051355581746,-0.4999097253983223,False,-0.13617895198049712,-5.626364971318116,True,
LK1118140,-0.06359708853249209,-1.8924971104201842,False,0.18615471400371172,2.6538889531143304,False,0.6530590751614304,6.287123272943482,True,0.3251031703469346,8.48605628007113,True,0.0010168106264534008,0.036907098346533995,False,-0.10497452591839516,-0.9908436137680345,False,-0.13804693401052126,-5.7115323367701585,True,
LK1118145,-0.06356499079967576,-1.8897016296231337,False,0.1904426712452723,2.721383077150015,False,0.7035871796291762,6.804160525236868,True,0.32432011089089174,8.462822972836863,True,0.0016474786125632694,0.05983846976741454,False,-0.0796664715222703,-0.809225868371236,False,-0.13856523792035405,-5.755074027588226,True,
LK1118150,-0.06351011367213523,-1.8878676885615895,False,0.19196337882666753,2.746273291554293,False,0.7075792419397154,6.58821709005784,True,0.32372809623066345,8.448343107344666,True,0.0005688894037720107,0.02069659379786218,False,-0.0880914945650263,-0.8574369650160213,False,-0.13866339117339746,-5.7624221252281185,True,
LK1118155,-0.06342678095380258,-1.8839823911887217,False,0.19735943844278483,2.8322903807079567,False,0.7142271066578116,6.459966251406566,True,0.32234564153560497,8.408615450233473,True,-0.00010802243025770802,-0.003940479144673139,False,-0.06619167925292527,-0.6635883220394914,False,-0.13867529166163584,-5.758764509480482,True,
