scheme,year,zone_id,cell_size_m,landscape_area_ha,class_area_ha,class_fraction,n_patches,patch_density_per_100ha,total_edge_m,edge_density_m_per_ha,mean_patch_area_ha,largest_patch_index_pct,aggregation_index_pct,observed_fraction,below_coverage_floor
dynamic_world,2018,LK1106160,10.0,46.63,3.54,0.07591679176495818,10.0,21.44542140253056,3240.0,69.48316534419901,0.354,3.1739223675745225,80.29850746268657,1.0,False
dynamic_world,2018,LK1106165,10.0,175.20000000000002,37.04,0.21141552511415523,25.0,14.269406392694062,12460.0,71.1187214611872,1.4816,13.14497716894977,91.61405435080977,1.0,False
dynamic_world,2018,LK1106170,10.0,37.53,2.35,0.06261657340794032,1.0,2.664535038635758,630.0,16.786570743405274,2.35,6.261657340794032,97.9498861047836,1.0,False
dynamic_world,2018,LK1106175,10.0,63.04,1.2,0.019035532994923856,2.0,3.1725888324873095,760.0,12.055837563451776,0.6,1.4593908629441625,92.66055045871559,1.0,False
dynamic_world,2018,LK1106180,10.0,46.52,0.63,0.01354256233877902,3.0,6.44883920894239,310.0,6.663800515907136,0.21,1.0318142734307825,88.18181818181819,1.0,False
dynamic_world,2018,LK1106185,10.0,92.75,10.86,0.11708894878706198,5.0,5.390835579514825,3610.0,38.921832884097036,2.172,8.021563342318059,93.87464387464388,1.0,False
dynamic_world,2018,LK1106190,10.0,24.47,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,False
dynamic_world,2018,LK1106195,10.0,23.93,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,False
dynamic_world,2018,LK1106200,10.0,66.49,34.82,0.5236877725973831,1.0,1.5039855617386075,3340.0,50.23311776206949,34.82,52.36877725973831,98.5390796201607,1.0,False
dynamic_world,2018,LK1106205,10.0,54.24,13.83,0.25497787610619466,2.0,3.687315634218289,2350.0,43.325958702064895,6.915,24.428466076696164,97.17577108881457,1.0,False
dynamic_world,2018,LK1106210,10.0,27.810000000000002,6.3,0.22653721682847894,1.0,3.595828838547285,810.0,29.126213592233007,6.3,22.653721682847895,99.33829611248966,1.0,False
dynamic_world,2018,LK1106215,10.0,68.67,4.37,0.0636376874908985,4.0,5.82495995340032,2060.0,29.99854376001165,1.0925,4.208533566331731,92.66826923076923,1.0,False
dynamic_world,2018,LK1106220,10.0,69.14,16.93,0.2448654903095169,12.0,17.356089094590686,2460.0,35.5799826439109,1.4108333333333334,23.28608620190917,96.45776566757493,1.0,False
dynamic_world,2018,LK1106225,10.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,False
dynamic_world,2018,LK1106230,10.0,31.43,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,False
dynamic_world,2018,LK1109005,10.0,179.94,38.67,0.21490496832277428,15.0,8.336112037345782,8930.0,49.62765366233189,2.5780000000000003,15.833055462932089,94.30937048232356,0.9921155648673982,False
dynamic_world,2018,LK1109010,10.0,137.18,23.400000000000002,0.17057880157457356,20.0,14.57938474996355,7580.0,55.25586820236186,1.17,8.230062691354425,92.95221470652412,0.9836512261580381,False
dynamic_world,2018,LK1109015,10.0,106.23,17.150000000000002,0.16144215381718913,6.0,5.648121999435188,5240.0,49.326932128400635,2.8583333333333334,8.246258119175375,92.9190319689274,1.0,False
dynamic_world,2018,LK1109020,10.0,176.87,35.58,0.2011646972352575,14.0,7.915418103691977,8790.0,49.69751795103748,2.5414285714285714,14.349522247978742,94.09662664379645,1.0,False
dynamic_world,2018,LK1109025,10.0,228.27,80.66,0.3533534849082227,16.0,7.009243439786218,18280.0,80.08060629955754,5.04125,17.290927410522627,94.40822467402207,0.9879679723003679,False
dynamic_world,2018,LK1109030,10.0,135.35,40.06,0.29597340229035835,8.0,5.910602142593277,10890.0,80.45807166605098,5.0075,20.42113040265977,94.44514901712111,0.9855821743246195,False
dynamic_world,2018,LK1109035,10.0,129.12,32.93,0.25503407682775714,15.0,11.617100371747211,9630.0,74.5817843866171,2.1953333333333336,11.787484510532837,93.7413073713491,0.9795918367346939,False
dynamic_world,2018,LK1109040,10.0,257.19,81.99,0.31879155488160504,21.0,8.16516971888487,18780.0,73.01994634317042,3.9042857142857144,22.388117733970994,94.34509126788357,0.9871799792730204,False
dynamic_world,2018,LK1109045,10.0,183.48,37.730000000000004,0.20563549160671465,30.0,16.350555918901243,12410.0,67.63679965118814,1.2576666666666667,6.387617178984086,90.3812474740671,1.0,False
dynamic_world,2018,LK1109050,10.0,107.54,45.62,0.4242142458620048,13.0,12.08852519992561,10430.0,96.987167565557,3.509230769230769,38.590291984377906,93.55807743658211,1.0,False
dynamic_world,2018,LK1109055,10.0,183.04,51.26,0.2800480769230769,8.0,4.370629370629371,7810.0,42.66826923076923,6.4075,22.661713286713287,96.03284527107242,1.0,False
dynamic_world,2018,LK1109060,10.0,261.35,95.8,0.3665582552133154,15.0,5.739429883298259,19390.0,74.19169695810216,6.386666666666667,30.235316625215226,94.90613794558111,1.0,False
dynamic_world,2018,LK1109065,10.0,56.92,8.99,0.1579409697821504,2.0,3.5137034434293746,1720.0,30.21784961349262,4.495,15.776528460997891,94.07364787111622,1.0,False
dynamic_world,2018,LK1109070,10.0,210.41,23.85,0.11335012594458439,21.0,9.980514234114349,9320.0,44.29447269616463,1.1357142857142857,3.017917399363148,89.59760273972603,1.0,False
dynamic_world,2018,LK1109075,10.0,286.92,120.5,0.41997769413076813,16.0,5.576467307960407,19870.0,69.2527533807333,7.53125,28.910497699707236,95.23031825795645,1.0,False
