zone_id,observed_lst_c,greened_lst_c,delta_c,rank,priority
LK1106095,40.323840035698055,40.323840035698055,1.4210854715202004e-16,84,False
LK1106100,41.2299706718393,41.2299706718393,0.0,143,False
LK1106105,40.77155830533155,40.77155830533155,-4.179663151530001e-16,106,False
LK1106110,41.16418043754446,40.33624363493772,-0.8279368026067314,49,True
LK1106115,40.603881505452925,40.603881505452925,-8.458842092382145e-16,134,False
LK1106120,40.55069341823399,40.55069341823399,8.198570028001156e-16,141,False
LK1106125,40.81431273398523,40.81431273398523,-3.8756876496005463e-16,120,False
LK1106130,40.3922041213549,40.3922041213549,0.0,118,False
LK1106135,40.61518614409278,40.61518614409278,1.652424966883954e-16,86,False
LK1106140,39.75833939075078,39.75833939075078,0.0,173,False
LK1106145,38.87769802926003,38.87769802926003,9.349246523159212e-17,230,False
LK1106150,38.63881500316177,38.63881500316177,2.7864421010200007e-16,260,False
LK1106155,38.071230008242686,38.071230008242686,-6.178632484870436e-16,279,False
LK1106160,37.80340184432231,37.80340184432231,-1.544658121217609e-16,305,False
LK1106165,37.92766202846649,37.92766202846649,-8.120488408686859e-17,247,False
LK1106170,38.8432069656459,38.8432069656459,-1.9737298215558337e-16,211,False
LK1106175,38.73783977966149,38.73783977966149,0.0,224,False
LK1106180,39.092088593785114,39.092088593785114,1.1842378929335002e-15,225,False
LK1106185,38.590813987844854,38.590813987844854,0.0,187,False
LK1106190,39.71484289950341,39.71484289950341,-1.1842378929335002e-15,119,False
LK1106195,41.23488664035714,40.399742755821094,-0.8351438845360301,57,True
LK1106200,36.58810453053006,36.58810453053006,0.0,292,False
LK1106205,38.15574601122155,38.15574601122155,2.583791766400364e-16,240,False
LK1106210,39.29344916349479,39.293449163494806,5.26327952414889e-16,200,False
LK1106215,39.949759466409375,39.949759466409375,1.0931426704001542e-16,88,False
LK1106220,37.637074543472416,37.637074543472416,3.002293249690564e-16,311,False
LK1106225,40.23746685570312,40.23746685570312,-5.684341886080802e-16,163,False
LK1106230,40.41006376592201,40.41006376592201,-4.900294729380001e-16,81,False
LK1109005,37.39848393790648,37.39848393790648,-1.2538989454590003e-16,324,False
LK1109010,37.32266812236591,37.32266812236591,2.711995174656871e-16,327,False
LK1109015,38.07294750857146,38.07294750857146,2.656234526205982e-16,286,False
LK1109020,37.378604391694836,37.378604391694836,-8.458842092382145e-17,294,False
LK1109025,36.46488206706729,36.4648820670673,0.0,360,False
LK1109030,36.64474058191653,36.64474058191654,-3.383536836952858e-16,361,False
LK1109035,36.29667472071801,36.29667472071801,1.1460366705808067e-16,372,False
LK1109040,36.01992337989626,36.01992337989626,1.4267926420885546e-16,371,False
LK1109045,37.11822242828799,37.11822242828799,7.681543089298381e-17,350,False
